sample_id,split,region,root_abs,power_abs,dI_dV_rel,dI_dIL_rel,dI_dI0_rel,dI_da_rel,dI_dRs_rel,dI_dRsh_rel,residual,exp_argument,status
pvext_0001577,cal,open_circuit,1.2975731600306517e-14,3.7747582837255322e-13,1.3247022676949589e-15,5.4426006082849109e-16,1.4538470208864186e-15,1.5739855308130028e-15,4.1640438611952758e-13,4.0414603614547257e-16,1.3877787807814457e-16,22.450931492246962,0
pvext_0001586,cal,mpp_near,8.8817841970012523e-16,1.4210854715202004e-14,5.1576438295322418e-16,0,6.0392120432267273e-16,8.1137259342539935e-16,3.505000984271855e-16,1.5246413593741629e-16,5.8286708792820718e-16,20.794982575600375,0
pvext_0001587,cal,interior,0,0,0,0,1.3887946397967473e-16,3.2231435706148288e-16,2.2715121436965165e-16,1.3206960484353148e-16,1.1622647289044608e-16,6.7093573787708332,0
pvext_0001596,cal,short_circuit,4.4408920985006262e-16,0,0,1.1108529639863935e-16,1.6033672901303419e-16,0,0,2.1849963857923069e-16,2.5760643618255585e-16,0.86947163498227575,0
pvext_0001597,cal,open_circuit,3.0669911055269949e-15,1.2878587085651816e-13,8.4060491597526094e-16,1.1199266768467345e-15,9.6072540356025664e-16,7.8856064040419174e-16,3.9385639118542008e-14,1.1007834198562682e-15,1.0672018824209317e-14,20.47774165604902,0
pvext_0001606,cal,mpp_near,2.2204460492503131e-16,0,4.4007077208293367e-15,2.2774121120802467e-16,4.4306172962835705e-15,4.5240964944704465e-15,4.1288878751177646e-15,1.2703873628251164e-16,2.2204460492503131e-16,22.823543438568755,0
pvext_0001607,cal,interior,0,0,1.1454819265013622e-16,1.1110228865876311e-16,1.4893137694386402e-16,0,2.315747273382612e-16,2.4480992438020721e-16,4.6837533851373792e-17,6.6397456746257086,0
pvext_0001616,cal,short_circuit,8.8817841970012523e-16,2.2204460492503131e-16,0,1.11462015686919e-16,0,0,1.2556758966531958e-16,1.1573009437310791e-16,7.2164496600635175e-16,1.7948934327430095,0
pvext_0001617,cal,open_circuit,1.529470452198145e-15,4.5425468941928671e-14,5.4535048502303157e-16,1.0987641252565427e-15,5.2552671964631814e-16,6.4176863018322224e-16,1.4716059415864803e-11,1.0777502506708552e-15,9.3536289824669439e-15,27.210664523407935,0
pvext_0001626,cal,mpp_near,1.7763568394002505e-15,1.1368683772161603e-13,1.7043222925765539e-15,1.2072548682842875e-16,1.976608317976363e-15,1.8431840000058397e-15,1.3829500001114599e-15,0,1.4432899320127035e-15,19.703545091943354,0
pvext_0001627,cal,interior,4.4408920985006262e-16,1.4210854715202004e-14,1.3034987174617885e-16,1.1148447106345128e-16,9.0876241935478983e-16,9.5104534841711804e-16,3.9815334237232544e-16,1.5632255119201846e-16,4.163336342344337e-16,15.923628429082695,0
pvext_0001636,cal,short_circuit,1.7763568394002505e-15,0,0,0,4.2516578588883663e-16,9.2598470927095531e-16,1.3311237081681136e-16,3.418718405717183e-16,1.0755285551056204e-15,4.2202703623960343,0
