index,path,root_abs,rho,accepted,status
100,1,0,9.6190029578951901e-10,1,1
101,1,5.5067062021407764e-14,5.3205258281013815e-10,1,1
102,1,8.8817841970012523e-16,5.3057776254422609e-10,1,1
103,1,0,5.0945155065323891e-10,1,1
104,1,4.4408920985006262e-16,8.5778624507543103e-10,1,1
105,1,1.7763568394002505e-15,5.2335109883233602e-10,1,1
106,1,4.8849813083506888e-15,7.0828716529308625e-10,1,1
107,1,2.3980817331903381e-14,5.0699795776881732e-10,1,1
108,1,4.4408920985006262e-15,6.7467760571321381e-10,1,1
109,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
110,1,4.4408920985006262e-14,9.9293502613068078e-10,1,1
111,1,9.5923269327613525e-14,5.0414468459553067e-10,1,1
112,1,0,5.0144240175359303e-10,1,1
113,1,1.3322676295501878e-15,5.0001820765760388e-10,1,1
114,1,0,5.0556221735337207e-10,1,1
115,1,1.7763568394002505e-15,5.1868016852313307e-10,1,1
116,1,4.4408920985006262e-16,5.0041566750041969e-10,1,1
117,1,8.8817841970012523e-16,5.0728261895233121e-10,1,1
118,1,4.4408920985006262e-16,5.0287903034745799e-10,1,1
119,1,4.4408920985006262e-16,5.0000532907051823e-10,1,1
120,1,8.8817841970012523e-16,5.0953193080022178e-10,1,1
121,1,3.9968028886505635e-15,2.133455593008648e-09,1,1
122,1,3.8635761256955448e-14,1.6761112084229807e-09,1,1
123,1,4.4408920985006262e-16,5.075504047458708e-10,1,1
124,1,4.4408920985006262e-16,5.6417222309096363e-10,1,1
125,1,4.8849813083506888e-15,5.398272526069832e-10,1,1
126,1,1.7763568394002505e-15,5.086459728265709e-10,1,1
127,1,8.8817841970012523e-16,5.0001243449787583e-10,1,1
128,1,3.5527136788005009e-15,5.0033351099659743e-10,1,1
129,1,4.4408920985006262e-16,5.0000044408920988e-10,1,1
130,1,0,5.0009681144774734e-10,1,1
131,1,4.4408920985006262e-16,5.2664357623416439e-10,1,1
132,1,6.2172489379008766e-15,2.5682158208273903e-09,1,1
133,1,0,7.1722579290894831e-10,1,1
134,1,2.6645352591003757e-15,5.118598464382558e-10,1,1
135,1,2.2204460492503131e-15,1.9486074562114481e-09,1,1
136,1,0,5.2501421292322451e-10,1,1
137,0,8.3250069060625265e-08,8.3747689630638886e-08,1,1
138,1,4.4408920985006262e-16,5.047286619064835e-10,1,1
139,1,8.8817841970012523e-16,3.4165452275492498e-09,1,1
140,0,4.7132136415939385e-08,4.7632135971850173e-08,1,1
141,1,2.9753977059954195e-14,1.9208012544258963e-09,1,1
142,1,2.2204460492503131e-15,5.5323741447682554e-10,1,1
143,1,3.0198066269804258e-14,5.6796208040782406e-10,1,1
144,1,3.1086244689504383e-15,5.1506883506863236e-10,1,1
145,1,8.8817841970012523e-16,5.079301010202926e-10,1,1
146,1,1.3322676295501878e-15,2.1732473184788432e-09,1,1
147,1,4.4408920985006262e-16,5.0018696155734691e-10,1,1
148,1,4.4408920985006262e-16,5.086211038308193e-10,1,1
149,1,6.4392935428259079e-14,7.5196777997393841e-10,1,1
150,1,3.9968028886505635e-15,6.9106893844877962e-10,1,1
151,1,7.9491968563161208e-14,1.3690284047929708e-09,1,1
152,1,0,5.0007549516567454e-10,1,1
153,1,0,5.0389155374591613e-10,1,1
154,1,1.7763568394002505e-15,3.5965696673490583e-09,1,1
155,1,0,5.0538991073995024e-10,1,1
156,1,4.4408920985006262e-16,5.0000044408920988e-10,1,1
157,1,4.4408920985006262e-16,5.1595923393438173e-10,1,1
158,1,0,5.0666355859380022e-10,1,1
159,1,0,5.2644595653578111e-10,1,1
160,1,3.1086244689504383e-15,5.2584554792406383e-10,1,1
161,1,3.3306690738754696e-14,5.040385472743765e-10,1,1
162,1,1.3322676295501878e-15,3.3053404044214857e-09,1,1
163,1,8.8817841970012523e-16,5.3729860864609694e-10,1,1
164,1,0,5.0453281856493962e-10,1,1
165,1,9.3258734068513149e-14,1.3378711430630573e-08,1,1
166,1,4.4408920985006262e-16,5.1324851339745695e-10,1,1
167,1,9.8587804586713901e-14,5.1925659631751845e-10,1,1
168,1,7.1054273576010019e-15,1.0638161049148493e-09,1,1
169,1,1.6431300764452317e-14,9.7326542684800181e-10,1,1
170,1,0,5.0091482377229116e-10,1,1
171,1,0,5.0287903034745799e-10,1,1
172,1,1.6431300764452317e-14,6.6569003229067224e-09,1,1
173,1,3.907985046680551e-14,7.4609025928157283e-10,1,1
174,1,1.2878587085651816e-14,6.0306155928674346e-10,1,1
175,1,4.4408920985006262e-16,5.0050404125317985e-10,1,1
176,1,1.3322676295501878e-15,6.1980505476572037e-10,1,1
177,0,2.0241514242513858e-08,2.0747929111150144e-08,1,1
178,1,0,5.0105293551655453e-10,1,1
179,1,8.8817841970012523e-16,5.0505417929730359e-10,1,1
180,1,3.9968028886505635e-14,5.02277733557321e-10,1,1
181,1,1.3322676295501878e-15,1.2691061121306574e-09,1,1
182,1,1.7763568394002505e-15,5.0018962609260601e-10,1,1
183,1,1.6431300764452317e-14,3.528075123978624e-09,1,1
184,1,1.3322676295501878e-15,5.817261813779169e-10,1,1
185,1,8.8817841970012523e-16,5.0625943741283666e-10,1,1
186,1,4.4408920985006262e-16,5.054667381732543e-10,1,1
187,1,3.9968028886505635e-15,7.051252501189538e-10,1,1
188,1,3.4727776210274897e-13,5.0025934809855247e-10,1,1
189,1,1.3322676295501878e-15,1.3376082050176591e-09,1,1
190,1,0,5.0066524563635542e-10,1,1
191,1,2.2648549702353193e-14,2.4895631808708458e-09,1,1
192,1,8.1712414612411521e-14,5.0008171241461244e-10,1,1
193,2,3.3704017354807547e-10,inf,1,1
194,1,8.8817841970012523e-16,5.1036193353343154e-10,1,1
195,1,3.1086244689504383e-15,5.0563948887588598e-10,1,1
196,1,8.8817841970012523e-15,2.0286225618638127e-09,1,1
197,1,9.3258734068513149e-15,2.0067871395046949e-09,1,1
198,1,8.4376949871511897e-15,5.5622036169938841e-10,1,1
199,1,4.4408920985006262e-15,5.8760325798107263e-10,1,1
200,1,0,5.0000799360577733e-10,1,1
201,2,1.3470780046986874e-10,inf,1,1
202,1,0,5.0000222044604928e-10,1,1
203,1,9.7699626167013776e-15,5.5426592508683828e-10,1,1
204,1,0,5.0043698378249249e-10,1,1
205,1,8.8817841970012523e-16,6.8327472872670117e-10,1,1
206,1,2.708944180085382e-14,6.288915640884625e-10,1,1
207,1,1.7763568394002505e-15,1.588712675567649e-09,1,1
208,1,7.1054273576010019e-15,3.393854045282751e-09,1,1
209,1,5.3290705182007514e-15,5.0412025968898891e-10,1,1
210,1,9.3258734068513149e-15,5.0995115101432023e-10,1,1
211,1,8.8817841970012523e-15,1.5774412473324445e-09,1,1
212,2,2.1040946762695967e-12,inf,1,1
213,1,4.4408920985006262e-16,5.1210853639577184e-10,1,1
214,1,0,5.0534017274844703e-10,1,1
215,1,8.8817841970012523e-16,5.1180033848413589e-10,1,1
216,1,4.4408920985006262e-16,5.0002842170943044e-10,1,1
217,1,8.8817841970012523e-16,5.0222355467371929e-10,1,1
218,1,4.4408920985006262e-16,5.0069277916736613e-10,1,1
219,1,4.4408920985006262e-16,5.0110222941884789e-10,1,1
220,1,0,5.0135003119794422e-10,1,1
