domain,sample_id,branch,valid_steps,best_relative_error,convergence_observed
bem,bem_0001496,smooth,7,1.2914665875324955e-10,1
bem,bem_0001497,smooth,7,1.631515401164465e-10,1
bem,bem_0001506,smooth,7,6.408347827974939e-11,1
bem,bem_0001507,smooth,7,1.1954964693587414e-10,1
bem,bem_0001516,smooth,7,1.3301341211753794e-10,1
bem,bem_0001517,smooth,7,1.3614507341731017e-10,1
bem,bem_0001526,smooth,7,1.7627787200026754e-10,1
bem,bem_0001527,smooth,7,1.3032687472411238e-10,1
bem,bem_0001536,smooth,7,1.5742943255707169e-10,1
bem,bem_0001537,smooth,7,1.560696937738445e-10,1
bem,bem_0001546,smooth,7,1.265455200920877e-10,1
bem,bem_0001547,smooth,7,1.3106929019381127e-10,1
bem,bem_0001556,smooth,7,1.3277476350526582e-10,1
bem,bem_0001557,smooth,7,1.0665014272472006e-10,1
bem,bem_0001566,smooth,7,8.691213397692057e-11,1
bem,bem_0001567,smooth,7,1.5257002502004218e-10,1
bem,bem_0001576,smooth,7,1.4020838222918557e-10,1
bem,bem_0001577,smooth,7,1.7691395083061807e-10,1
bem,bem_0001586,smooth,7,1.2763800662912647e-10,1
bem,bem_0001587,smooth,7,5.4090889826732785e-11,1
bem,bem_0001596,smooth,7,1.9324641627636898e-10,1
bem,bem_0001597,smooth,7,1.6716145080763208e-10,1
bem,bem_0001606,smooth,7,7.363073353685964e-11,1
bem,bem_0001607,smooth,7,1.3834574638956128e-10,1
bem,bem_0001616,smooth,7,1.304270542371615e-10,1
bem,bem_0001617,smooth,7,2.2862987899303995e-10,1
bem,bem_0001626,smooth,7,1.1993292755787822e-10,1
bem,bem_0001627,smooth,7,1.3260406844316574e-10,1
bem,bem_0001636,smooth,7,1.2806790452952841e-10,1
bem,bem_0001637,smooth,7,8.295410904916083e-11,1
bem,bem_0001646,smooth,7,1.4679272160275204e-10,1
bem,bem_0001647,smooth,7,1.3062520735977502e-10,1
bem,bem_0001656,smooth,7,1.2986479033819108e-10,1
bem,bem_0001657,smooth,7,1.3553273229070182e-10,1
bem,bem_0001666,smooth,7,1.263438395219878e-10,1
bem,bem_0001667,smooth,7,1.2289748242539995e-10,1
bem,bem_0001676,smooth,7,1.2915017520404185e-10,1
bem,bem_0001677,smooth,7,9.226336387885514e-11,1
bem,bem_0001686,smooth,7,1.4223757792584706e-10,1
bem,bem_0001687,smooth,7,1.196733380413304e-10,1
bem,bem_0001696,smooth,7,1.463629103422816e-10,1
bem,bem_0001697,smooth,7,1.6805783518003083e-10,1
