domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_diff_p99,root_diff_max,wrong_root,iterations_p99,checksum
cstr,16777216,df32,512.720458984,583.154846191,32.7219554165,28.769744622,9.74133967935e-14,1.71640479607e-13,0,36,371398.235481
cstr,16777216,fp64_equivalent,531.309143066,603.827819824,31.5771264601,27.7847681892,9.74133967935e-14,1.71640479607e-13,0,4,371398.235481
peng_robinson,1,df32,0.0102569600567,0.0140095995739,0.0974947737409,0.0713796275707,1.11022302463e-16,1.11022302463e-16,0,4,0.0671926921223
peng_robinson,1,fp64_equivalent,0.0102457590401,0.0130720008165,0.0976013583849,0.0764993832268,1.11022302463e-16,1.11022302463e-16,0,4,0.0671926921223
peng_robinson,8,df32,0.0358243212104,0.0390879996121,0.223311977163,0.204666395809,7.48012762841e-14,8.06021915878e-14,0,44,8.16452053856
peng_robinson,8,fp64_equivalent,0.0143580790609,0.0219999998808,0.557177597787,0.363636365607,7.48012762841e-14,8.06021915878e-14,0,8,8.16452053855
peng_robinson,32,df32,0.0378559976816,0.0476543977857,0.845308589385,0.671501508506,8.1379347705e-14,9.20513665292e-14,0,46,72.8397113328
peng_robinson,32,fp64_equivalent,0.0164028797299,0.0242464002222,1.9508769513,1.3197835434,8.1379347705e-14,9.20513665292e-14,0,9,72.8397113328
peng_robinson,128,df32,0.0380118377507,0.0478943996131,3.36737204972,2.67254629004,9.58400026008e-14,1.00475183729e-13,0,48,269.498452843
peng_robinson,128,fp64_equivalent,0.0184521600604,0.0326239988208,6.93685723411,3.92349204962,9.58400026008e-14,1.00475183729e-13,0,10,269.498452843
peng_robinson,512,df32,0.047063998878,0.0525439977646,10.878803591,9.74421478727,9.8712704677e-14,1.0053069488e-13,0,48,1295.49231581
peng_robinson,512,fp64_equivalent,0.0316876806319,0.0473536029458,16.1576988214,10.812271256,9.8712704677e-14,1.0053069488e-13,0,10,1295.49231581
peng_robinson,2048,df32,0.045286398381,0.0598080009222,45.2232916111,34.2429101194,9.90318937966e-14,1.35447209004e-13,0,48,5267.51261418
peng_robinson,2048,fp64_equivalent,0.0328544005752,0.0475200004876,62.335637362,43.0976426555,9.90318937966e-14,1.35447209004e-13,0,10,5267.51261418
peng_robinson,8192,df32,0.0453056022525,0.0933440029621,180.816490516,87.7613959123,9.84767822843e-14,1.35447209004e-13,0,48,21388.2018572
peng_robinson,8192,fp64_equivalent,0.0328608006239,0.0834240019321,249.293986892,98.197159214,9.84767822843e-14,1.35447209004e-13,0,10,21388.2018572
peng_robinson,32768,df32,0.0472959987819,0.208639994264,692.828163987,157.055219042,9.81853487403e-14,1.88404847279e-13,0,48,86371.5593769
peng_robinson,32768,fp64_equivalent,0.0348160006106,0.187199994922,941.176454082,175.042739791,9.81853487403e-14,1.88404847279e-13,0,10,86371.5593769
peng_robinson,131072,df32,0.125440001488,0.701344013214,1044.89794679,186.886887933,9.83033099367e-14,1.96315186329e-13,0,48,264705.749828
peng_robinson,131072,fp64_equivalent,0.117856003344,0.688160002232,1112.13681341,190.467332561,9.83033099367e-14,1.96315186329e-13,0,10,264705.749828
peng_robinson,524288,df32,0.399264007807,2.75033593178,1313.13614488,190.626895407,9.83033099367e-14,1.96315186329e-13,0,48,264705.749828
peng_robinson,524288,fp64_equivalent,0.370687991381,2.69132804871,1414.36467377,194.806426609,9.83033099367e-14,1.96315186329e-13,0,10,264705.749828
peng_robinson,2097152,df32,1.47417604923,10.6423358917,1422.59264156,197.057490135,9.83033099367e-14,1.96315186329e-13,0,48,264705.749828
peng_robinson,2097152,fp64_equivalent,1.38441598415,10.3732795715,1514.82793034,202.168657033,9.83033099367e-14,1.96315186329e-13,0,10,264705.749828
peng_robinson,8388608,df32,6.18342399597,41.6114883423,1356.62830261,201.593558274,9.83033099367e-14,1.96315186329e-13,0,48,264705.749828
peng_robinson,8388608,fp64_equivalent,5.70688009262,41.4170227051,1469.91138132,202.540101922,9.83033099367e-14,1.96315186329e-13,0,10,264705.749828
peng_robinson,16777216,df32,12.4745597839,83.1016311646,1344.91447318,201.887926445,9.83033099367e-14,1.96315186329e-13,0,48,264705.749828
peng_robinson,16777216,fp64_equivalent,11.5179843903,82.9721908569,1456.61041303,202.202880588,9.83033099367e-14,1.96315186329e-13,0,10,264705.749828
