timestamp, index, name, temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%]
2026/08/24 16:39:33.221, 1, NVIDIA GeForce RTX 5090, 37, 16.73 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:33.425, 0, NVIDIA GeForce RTX 5090, 55, 227.09 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:33.425, 1, NVIDIA GeForce RTX 5090, 37, 16.73 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:33.629, 0, NVIDIA GeForce RTX 5090, 55, 227.20 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:33.629, 1, NVIDIA GeForce RTX 5090, 37, 16.73 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:33.832, 0, NVIDIA GeForce RTX 5090, 55, 227.20 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:33.833, 1, NVIDIA GeForce RTX 5090, 37, 14.34 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:34.036, 0, NVIDIA GeForce RTX 5090, 55, 227.20 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:34.036, 1, NVIDIA GeForce RTX 5090, 37, 14.34 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:34.240, 0, NVIDIA GeForce RTX 5090, 55, 228.50 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:34.240, 1, NVIDIA GeForce RTX 5090, 37, 14.34 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:34.444, 0, NVIDIA GeForce RTX 5090, 55, 228.50 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:34.445, 1, NVIDIA GeForce RTX 5090, 37, 14.34 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:34.649, 0, NVIDIA GeForce RTX 5090, 55, 228.98 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:34.649, 1, NVIDIA GeForce RTX 5090, 37, 14.34 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:34.853, 0, NVIDIA GeForce RTX 5090, 55, 228.98 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
