split,path,gate,index,accepted,truth_good,false_accept,false_reject,root_abs,rho,tightness,beta,h,branch_distance,gradient_bound,residual,bracket,status
cal,fp32,posterior,201,0,0,0,0,2.6449811629802866e-06,inf,inf,2.6451691871225545e-06,0.0011333509120829855,0.0035302561385520837,0,1.0774284438464186e-06,0,1
cal,fp32,posterior,202,0,0,0,0,5.9281514719344841e-07,5.933151449730024e-07,1.0008434294938668,5.9281578780209748e-07,1.6763728899511998e-05,0.0010139532406887193,0,8.7458275016084008e-07,0,1
cal,fp32,posterior,203,0,0,0,0,1.7389402132916842e-05,1.7654104245872247e-05,1.015222036441054,1.7418036058712238e-05,0.02638610415774419,0.0014919366409176498,0,1.1438589793399983e-06,0,1
cal,fp32,posterior,204,0,0,0,0,2.1000565197937249e-06,2.1005560828099422e-06,1.0002378807482126,2.100067995044216e-06,8.1829348754384291e-05,3.4458523011267915e-06,0,1.6024116667373327e-06,0,1
cal,fp32,posterior,205,0,0,0,0,1.820460413526348e-07,1.8272931696953993e-07,1.0037533121392164,1.8204607024089681e-07,6.5806390614712846e-12,0.23752744495868683,0,1.8730509138377367e-07,0,1
cal,fp32,posterior,206,0,0,0,0,1.1320281340765348e-05,1.1355495554169322e-05,1.0031107189250823,1.1324173699917599e-05,0.0055013819621232054,0.0025168359279632568,0,1.9052126564241076e-06,0,1
cal,fp32,posterior,207,0,0,0,0,7.8776492435927992e-06,7.9404508798074331e-06,1.0079721290289376,7.8845415305867212e-06,0.013983006220950164,0.0052529883523941348,0,1.140775042790757e-06,0,1
cal,fp32,posterior,208,0,0,0,0,5.566660044475924e-06,5.5984388665892408e-06,1.0057087772307656,5.5701650639796889e-06,0.010049591345103172,0.0052050513168339719,0,7.9732902423367957e-07,0,1
cal,fp32,posterior,209,0,0,0,0,1.5663798854426147e-05,1.5759532877650689e-05,1.0061118011099517,1.5650314363683513e-05,0.013764569825079932,0.0011506344890221953,0,1.6126879375783804e-06,0,1
cal,fp32,posterior,210,0,0,0,0,3.3724728907280621e-06,3.3760483408715321e-06,1.0010601864742337,3.3719644317474828e-06,0.0024164161908459695,0.0046437866906219065,0,4.2805633398569782e-07,0,1
cal,fp32,posterior,211,0,0,0,0,1.7926668115286759e-05,1.8658246901906848e-05,1.040809523661357,1.8002357141461751e-05,0.067834175131634269,0.0028103999873103896,0,5.1724187499422553e-07,0,1
cal,fp32,posterior,212,0,0,0,0,9.3707123425268435e-06,inf,inf,9.3618913919770067e-06,0.01505920892129157,0.0078937815875931676,0,1.3192308095072601e-06,0,1
cal,fp32,posterior,213,0,0,0,0,4.0153302194312346e-06,4.017237273014637e-06,1.0004749431501732,4.0150587594761917e-06,0.0010839947959980284,0.0075088203204471014,0,1.8649911695231055e-06,0,1
cal,fp32,posterior,214,0,0,0,0,2.109940211880712e-06,2.1104348717079634e-06,1.0002344425801575,2.1099328068008045e-06,5.664443675365176e-05,0.0015909207280448308,0,1.5654371733827201e-06,0,1
cal,fp32,posterior,215,0,0,0,0,8.9635911937335777e-07,8.9687091882366352e-07,1.0005709758948662,8.9635755316982193e-07,3.0920493790069071e-05,3.6007438695807998e-06,0,1.3935212093354353e-06,0,1
cal,fp32,posterior,216,0,0,0,0,6.9568112337492494e-07,6.9618115224072361e-07,1.000718761583429,6.9568117862276931e-07,5.0911057489727466e-07,0.00848316214067419,0,6.8229512539737377e-07,0,1
cal,fp32,posterior,217,0,0,0,0,3.2929288567018489e-06,3.2940648497714821e-06,1.0003449795361723,3.293055293343115e-06,0.00061276694185793241,0.0056077929312029319,0,1.7249481911101852e-06,0,1
cal,fp32,posterior,218,0,0,0,0,2.4118600161493475e-06,2.4124048583211301e-06,1.0002259012414214,2.4117825738271888e-06,0.00051577078557785768,0.0047524482262914043,0,1.217248703149313e-06,0,1
