index,h_relative,near_knot,fd,min_side_relative_error,branch_change,status
187,0.001,0,1.6038975536286864,8.2623159769413466,1,1
188,0.001,1,0.018824539575650754,0.029028941249726267,0,1
189,0.001,0,0.10506145524927142,0.00067395543136130232,0,1
190,0.001,0,0.029294886452338815,5.4683920178641195e-06,0,1
191,0.001,0,0.10354612575472985,0.00054812183723909158,0,1
192,0.001,1,0.016411526928007025,0.016201853789601924,0,1
193,0.001,0,-0.091628449377066962,5.4388416196469125e-07,0,1
194,0.001,0,0.069655056071490182,0.00091633257121729,0,1
195,0.001,0,0.076300312387588679,0.0013650528256394412,0,1
196,0.001,0,0.10627674495909378,0.00060395773579107121,0,1
197,0.001,0,0.10625359767220255,0.0006062143111541916,0,1
198,0.001,0,0.07522159718098459,0.00026660681537690544,0,1
199,0.001,0,0.10061430674670671,0.0010381908379366207,0,1
200,0.001,0,0.0286580548299981,7.1171161991060163e-06,0,1
201,0.001,1,0.037408996993558583,3.1498481561394245e-05,0,1
202,0.001,0,0.014027112361541923,2.800637030687805e-08,0,1
203,0.001,0,0.24583855776987393,0.015700396924431564,0,1
204,0.001,1,0.019478758187629237,0.0043446553998244966,0,1
205,0.001,0,0.16659464262532517,7.2393458808613316e-07,0,1
206,0.001,0,0.069750741673693481,0.00025485873334752746,0,1
207,0.001,0,0.09037255931656489,0.0044834439515944492,0,1
208,0.001,0,0.083534677538074725,0.0047458706272463652,0,1
209,0.001,0,0.15701538080168664,0.0021385431306312611,0,1
210,0.001,0,0.11897959019355107,0.00096991495667078534,0,1
211,0.001,0,5.8729733189907982,10.300824069777427,1,1
212,0.001,0,0.097238398995444522,0.0036244451846543886,0,1
213,0.001,0,0.025566417514589809,1.390301481920903e-05,0,1
214,0.001,0,0.01578401177199355,3.3011991546655639e-07,0,1
215,0.001,1,0.01159576557834671,5.5488049428345461e-08,0,1
216,0.001,0,0.013996143510118318,4.7010316963657087e-09,0,1
217,0.001,0,0.028968911643522853,5.6808134536254672e-06,0,1
