domain,n,method,timing_kind,median_ms,p05_ms,p95_ms,fp64_over_method_median,ci95_low,ci95_high
cstr,32,fp32,e2e,0.03616159968075,0.0360361598432,0.0362806394696,9.533505709677378,9.515945276138465,9.55244452293551
cstr,32,fp32,kernel,0.02868315204975,0.0286745913327,0.0289045125246,11.665972332833775,11.663497601254685,11.669098253695232
cstr,32,fp64,e2e,0.3441259264945,0.344053119421,0.347231686115,1.0,1.0,1.0
cstr,32,fp64,kernel,0.33459714055050005,0.334541916847,0.334880530834,1.0,1.0,1.0
cstr,128,adaptive_frozen_v3,e2e,0.405667334795,0.405558079481,0.408727049828,0.9390418601719588,0.9374821119184704,0.9399511766457196
cstr,128,adaptive_frozen_v3,kernel,0.3995080441235,0.399185955524,0.399750441313,0.924073207565438,0.9238096844551695,0.9243010420426465
cstr,128,adaptive_no_gradient_gate_v3,e2e,0.40568304061899996,0.40558719635,0.408801913261,0.93898605697097,0.9356189451468894,0.9405042684780154
cstr,128,adaptive_no_gradient_gate_v3,kernel,0.39944823086250003,0.3993742764,0.399580746889,0.9241823087919739,0.9239548175586645,0.9243706435126776
cstr,128,fp32,e2e,0.0362683199346,0.0361612811685,0.0364303998649,10.50981218166736,10.494091282090796,10.544284635507926
cstr,128,fp32,kernel,0.028693119064,0.0286909453571,0.0289175361395,12.862513412626638,12.85784580852664,12.867950471096375
cstr,128,fp64,e2e,0.380921438336,0.379716485739,0.383997112513,1.0,1.0,1.0
cstr,128,fp64,kernel,0.36919960379600003,0.368918478489,0.369595468044,1.0,1.0,1.0
cstr,512,adaptive_frozen_v3,e2e,0.728484153748,0.726223707199,0.731932461262,0.9630307563195182,0.9614022860308267,0.964170931694418
cstr,512,adaptive_frozen_v3,kernel,0.720823973417,0.720586419106,0.721024096012,0.9554362516349195,0.9553074662443111,0.955684062804631
cstr,512,adaptive_no_gradient_gate_v3,e2e,0.7287420630455,0.726083815098,0.735529959202,0.9628858722688458,0.9607694828076041,0.9642952764449102
cstr,512,adaptive_no_gradient_gate_v3,kernel,0.7207612693309999,0.720643699169,0.721248745918,0.9554697854220284,0.9553409379506295,0.9555751907292038
cstr,512,fp32,e2e,0.0476516801864,0.038957118988,0.0477523170412,14.728833012676807,14.716911608686733,14.744047906146273
