effective_irradiance_W_m2,cell_temperature_C,IL_A,I0_A,Rs_ohm,Rsh_ohm,nNsVth_V,i_sc,v_oc,i_mp,v_mp,p_mp
950,5,4.779739556793559,2.222879871938488e-11,1.066023,401.3204473684211,2.459107217507966,4.767076823977476,64.08443041474493,4.414851661208385,51.93288673910003,229.2759912914626
1000,5,5.031304796624799,2.222879871938488e-11,1.066023,381.254425,2.459107217507966,5.017276023831214,64.21039904838358,4.64515072955752,51.83104538030285,240.7630182620427
1050,5,5.28287003645604,2.222879871938488e-11,1.066023,363.0994523809524,2.459107217507966,5.26740547043673,64.33022035932026,4.875206005036181,51.72370871006764,252.163735306064
1100,5,5.534435276287279,2.222879871938488e-11,1.066023,346.5949318181818,2.459107217507966,5.517465192959546,64.44446651706426,5.105011987472216,51.61143233370915,263.4769807541963
100,10,0.5052043597468601,5.720347434491809e-11,1.066023,3812.54425,2.503311913130974,0.5050631393596232,57.25434360092231,0.4687193291605669,49.1462388705885,23.03579211418722
150,10,0.75780653962029,5.720347434491809e-11,1.066023,2541.696166666667,2.503311913130974,0.757488838161846,58.26799110099932,0.7030516675891926,49.88557120633902,35.07213402525606
200,10,1.01040871949372,5.720347434491809e-11,1.066023,1906.272125,2.503311913130974,1.009843995826812,58.9871850013169,0.9372413037347106,50.34468504391545,47.18511824667271
250,10,1.26301089936715,5.720347434491809e-11,1.066023,1525.0177,2.503311913130974,1.262128641919693,59.54503487411444,1.171269455264642,50.65025820901645,59.32510034148815
300,10,1.51561307924058,5.720347434491809e-11,1.066023,1270.848083333334,2.503311913130974,1.51434280598913,60.00083124233242,1.405124474779792,50.85876734772135,71.46289875741462
350,10,1.76821525911401,5.720347434491809e-11,1.066023,1089.298357142857,2.503311913130974,1.766486517567245,60.38620146429685,1.638797890380955,51.0003588597796,83.57928050807847
400,10,2.02081743898744,5.720347434491809e-11,1.066023,953.1360625000001,2.503311913130974,2.018559806169646,60.72002424849347,1.87228269731288,51.09304218016956,95.66061882700863
450,10,2.27341961886087,5.720347434491809e-11,1.066023,847.2320555555557,2.503311913130974,2.270562701295442,61.01447674575002,2.105572777681785,51.14844019323844,107.6967632917677
500,10,2.5260217987343,5.720347434491809e-11,1.066023,762.5088500000001,2.503311913130974,2.52249523242725,61.27787342725151,2.338662472567939,51.1744945536712,119.6798699653032
550,10,2.77862397860773,5.720347434491809e-11,1.066023,693.1898636363636,2.503311913130974,2.774357429031208,61.51614466567753,2.571546359787738,51.17687423340772,131.6037046402345
600,10,3.03122615848116,5.720347434491809e-11,1.066023,635.4240416666668,2.503311913130974,3.026149320556978,61.73366922808782,2.80421922581147,51.15976681852477,143.4632017005388
650,10,3.28382833835459,5.720347434491809e-11,1.066023,586.5452692307693,2.503311913130974,3.277870936437762,61.93377239790698,3.036675797983223,51.12635705714139,155.25417111447
700,10,3.53643051822802,5.720347434491809e-11,1.066023,544.6491785714286,2.503311913130974,3.529522306090304,62.11903897012053,3.268910824063076,51.07912241671769,166.9730961516514
750,10,3.78903269810145,5.720347434491809e-11,1.066023,508.3392333333334,2.503311913130974,3.781103458914908,62.29151800025761,3.500919146204843,51.02002695747996,178.6169892153288
800,10,4.041634877974881,5.720347434491809e-11,1.066023,476.56803125,2.503311913130974,4.032614424295433,62.45286133842137,3.732695291733134,50.95065936227384,190.1832863122583
850,10,4.29423705784831,5.720347434491809e-11,1.066023,448.5346176470589,2.503311913130974,4.284055231599312,62.60442009100598,3.964233898775719,50.87231812720572,201.6697680291714
900,10,4.54683923772174,5.720347434491809e-11,1.066023,423.6160277777778,2.503311913130974,4.535425910177556,62.74731346870681,4.195529353521811,50.78608233526199,213.0744991879672
950,10,4.79944141759517,5.720347434491809e-11,1.066023,401.3204473684211,2.503311913130974,4.786726489364757,62.88247899514135,4.426576050596931,50.69285592470843,224.3957819726751
1000,10,5.0520435974686,5.720347434491809e-11,1.066023,381.254425,2.503311913130974,5.037956998479101,63.01070982184319,4.657368218154664,50.5934055318063,235.632118972045
1050,10,5.304645777342031,5.720347434491809e-11,1.066023,363.0994523809524,2.503311913130974,5.289117466822365,63.13268292958287,4.887899739669979,50.48838904148565,246.7821836522343
1100,10,5.557247957215461,5.720347434491809e-11,1.066023,346.5949318181818,2.503311913130974,5.540207923679931,63.2489807631473,5.118164610072489,50.37837117998409,257.8447964864904
100,15,0.50727823983124,1.425876084896349e-10,1.066023,3812.54425,2.547516608753983,0.5071364397098675,55.95113835864868,0.4699700992000169,47.81888418925298,22.47344574605734
150,15,0.76091735974686,1.425876084896349e-10,1.066023,2541.696166666667,2.547516608753983,0.7605983540821923,56.98266784800103,0.704959580823102,48.57358740174561,34.24241581380889
200,15,1.01455647966248,1.425876084896349e-10,1.066023,1906.272125,2.547516608753983,1.013989437742349,57.71454920220253,0.9398047229585844,49.04371585615717,46.09151579305532
250,15,1.2681955995781,1.425876084896349e-10,1.066023,1525.0177,2.547516608753983,1.267309720376736,58.2822402176696,1.174483164395076,49.3579116762903,57.97003629350212
300,15,1.52183471949372,1.425876084896349e-10,1.066023,1270.848083333334,2.547516608753983,1.520559231655134,58.74607737770611,1.408981201213594,49.57352872735107,69.84817005465973
350,15,1.77547383940934,1.425876084896349e-10,1.066023,1089.298357142857,2.547516608753983,1.773738001230722,59.13824598721635,1.643288862569971,49.72118690681316,81.70627267772592
400,15,2.02911295932496,1.425876084896349e-10,1.066023,953.1360625000001,2.547516608753983,2.026846058740079,59.47795779881608,1.877398049631585,49.81917773765227,93.53042711891764
450,15,2.28275207924058,1.425876084896349e-10,1.066023,847.2320555555557,2.547516608753983,2.279883433803195,59.77760478348296,2.111301747172471,49.87930700105057,105.3102680190701
500,15,2.5363911991562,1.425876084896349e-10,1.066023,762.5088500000001,2.547516608753983,2.532850156023477,60.04564809000954,2.344993495937286,49.90964232906929,117.0377866462238
550,15,2.79003031907182,1.425876084896349e-10,1.066023,693.1898636363636,2.547516608753983,2.785746254987758,60.28812271019342,2.578467244957818,49.91594109275635,128.7066191089162
600,15,3.04366943898744,1.425876084896349e-10,1.066023,635.4240416666668,2.547516608753983,3.038571760266302,60.50948465794158,2.811717041838524,49.90245945849392,140.3115956891034
650,15,3.29730855890306,1.425876084896349e-10,1.066023,586.5452692307693,2.547516608753983,3.29132670141281,60.71311787876721,3.04473702403708,49.87243243031729,151.8484414993746
700,15,3.55094767881868,1.425876084896349e-10,1.066023,544.6491785714286,2.547516608753983,3.544011107964427,60.90165276660287,3.277521457792004,49.82837547386085,163.3135698224957
750,15,3.8045867987343,1.425876084896349e-10,1.066023,508.3392333333334,2.547516608753983,3.796625009441742,61.07717452482348,3.510064360529218,49.77228816272516,174.7039348219718
800,15,4.05822591864992,1.425876084896349e-10,1.066023,476.56803125,2.547516608753983,4.0491684353488,61.24136414417671,3.742359993716326,49.70578032003844,186.0169237261641
850,15,4.31186503856554,1.425876084896349e-10,1.066023,448.5346176470589,2.547516608753983,4.301641415173095,61.39559656621782,3.974402208573498,49.63017473862779,197.2502760930909
900,15,4.56550415848116,1.425876084896349e-10,1.066023,423.6160277777778,2.547516608753983,4.554043978385581,61.54101074587379,4.206184885192852,49.54656722119032,208.4020221589623
950,15,4.81914327839678,1.425876084896349e-10,1.066023,401.3204473684211,2.547516608753983,4.806376154440669,61.67856074581186,4.437701873761083,49.45587630583792,219.4704349509133
1000,15,5.0727823983124,1.425876084896349e-10,1.066023,381.254425,2.547516608753983,5.058637972776225,61.80905370971755,4.668946693486003,49.35888277592868,230.4539925308354
1050,15,5.32642151822802,1.425876084896349e-10,1.066023,363.0994523809524,2.547516608753983,5.310829462813573,61.93317856111685,4.899912822289332,49.25625344456444,241.3513478309544
1100,15,5.580060638143641,1.425876084896349e-10,1.066023,346.5949318181818,2.547516608753983,5.562950653957489,62.05152801982149,5.13059348373813,49.14856440465729,252.1613042696185
100,20,0.50935211991562,3.448226987841087e-10,1.066023,3812.54425,2.591721304376991,0.5092097400334694,54.64600681105708,0.4711547951125666,46.49429876889815,21.90601181036266
150,20,0.76402817987343,3.448226987841087e-10,1.066023,2541.696166666667,2.591721304376991,0.76370786996039,55.69541785811953,0.7067724205751715,47.26428873274929,33.40509575440903
200,20,1.01870423983124,3.448226987841087e-10,1.066023,1906.272125,2.591721304376991,1.018134879598565,56.43998635961725,0.9422442688650779,47.74539510491282,44.98782490230285
250,20,1.27338029978905,3.448226987841087e-10,1.066023,1525.0177,2.591721304376991,1.272490798755439,57.01751827971748,1.177544049105694,48.0682015267663,56.6024246590569
300,20,1.52805635974686,3.448226987841087e-10,1.066023,1270.848083333334,2.591721304376991,1.526775657221738,57.48939603693202,1.412655722618444,48.29093230758157,68.21846187488498
