effective_irradiance_W_m2,cell_temperature_C,V,I,P
600,10,17.14824145224662,2.999207243453141,51.43112997606146
600,10,17.49120628129155,2.998668377432138,52.45032715885135
600,10,17.83417111033648,2.998129507257021,53.46915464337051
600,10,18.17713593938141,2.997590632318921,54.48761241427731
600,10,18.52010076842635,2.997051751919727,55.50570045374207
600,10,18.86306559747128,2.996512865259007,56.52341874104726
600,10,19.20603042651621,2.995973971419009,57.54076725212409
600,10,19.54899525556114,2.995435069347467,58.55774595901509
600,10,19.89196008460607,2.994896157837882,59.57435482925124
600,10,20.23492491365101,2.994357235506922,60.59059382513017
600,10,20.57788974269594,2.993818300768498,61.60646290287945
600,10,20.92085457174087,2.993279351804048,62.62196201168727
600,10,21.2638194007858,2.992740386528467,63.63709109257921
600,10,21.60678422983074,2.992201402551033,64.65185007711707
600,10,21.94974905887567,2.991662397130619,65.66623888589153
600,10,22.2927138879206,2.991123367124334,66.68025742677646
600,10,22.63567871696553,2.990584308928632,67.6939055929069
600,10,22.97864354601046,2.990045218411799,68.70718326033773
600,10,23.3216083750554,2.98950609083654,69.72009028533256
600,10,23.66457320410033,2.988966920771218,70.73262650122483
600,10,24.00753803314526,2.988427701988088,71.74479171478391
600,10,24.35050286219019,2.987888427346612,72.75658570200864
600,10,24.69346769123513,2.987349088659674,73.76800820325838
600,10,25.03643252028006,2.986809676540187,74.7790589176179
600,10,25.37939734932499,2.986270180225217,75.78973749637612
600,10,25.72236217836992,2.985730587374331,76.8000435354797
600,10,26.06532700741485,2.985190883838392,77.80997656680147
600,10,26.40829183645979,2.98465105339447,78.81953604803829
600,10,26.75125666550472,2.984111077441894,79.82872135102393
600,10,27.09422149454965,2.983570934653769,80.83753174820976
600,10,27.43718632359458,2.983030600577419,81.8459663970269
600,10,27.78015115263952,2.982490047176269,82.8540243217997
600,10,28.12311598168445,2.981949242304598,83.86170439282827
600,10,28.46608081072938,2.981408149105315,84.869005302199
600,10,28.80904563977431,2.980866725319486,85.87592553581368
600,10,29.15201046881925,2.980324922494683,86.88246334104791
600,10,29.49497529786418,2.979782685077329,87.88861668935921
600,10,29.83794012690911,2.979239949372044,88.89438323305879
600,10,30.18090495595404,2.978696642348524,89.89976025534024
600,10,30.52386978499898,2.978152680273603,90.90474461251715
600,10,30.86683461404391,2.977607967142913,91.90933266725979
600,10,31.20979944308884,2.977062392882787,92.91352021143393
600,10,31.55276427213377,2.976515831288771,93.91730237692889
600,10,31.89572910117871,2.975968137662196,94.9206735326127
600,10,32.23869393022364,2.975419146100594,95.92362716526443
600,10,32.58165875926857,2.97486866639135,96.92615574200332
600,10,32.9246235883135,2.974316480450493,97.9282505513499
600,10,33.26758841735843,2.97376233824016,98.92990151961506
600,10,33.61055324640336,2.973205953088464,99.93109699880328
600,10,33.9535180754483,2.972646996324472,100.9318235216301
600,10,34.29648290449323,2.972085091128203,101.9320655185776
600,10,34.63944773353816,2.971519805481063,102.9318049911348
600,10,34.98241256258309,2.970950644085417,103.931021134468
600,10,35.32537739162803,2.970377039102973,104.9296899017392
600,10,35.66834222067296,2.969798339539841,105.9277835010934
600,10,36.01130704971789,2.969213799081202,106.9252698149726
600,10,36.35427187876282,2.968622562150089,107.9221117298338
600,10,36.69723670780775,2.9680236479322,108.918266362539
600,10,37.04020153685269,2.967415932071608,109.9136841676
600,10,37.38316636589762,2.966798125699881,110.9083079070719
600,10,37.72613119494255,2.966168751412841,111.9020714621398
600,10,38.06909602398748,2.965526115754315,112.8948984622936
600,10,38.41206085303241,2.964868277703684,113.8867007043793
600,10,38.75502568207735,2.964193012593078,114.877376329679
600,10,39.09799051112228,2.963497770799494,115.8668077224507
600,10,39.44095534016721,2.962779630465923,116.8548590879636
600,10,39.78392016921214,2.962035243402417,117.8413736619146
600,10,40.12688499825708,2.961260773201772,118.8261704961173
600,10,40.46984982730201,2.960451824473632,119.8090407574102
600,10,40.81281465634694,2.959603361954164,120.7897434677366
600,10,41.15577948539188,2.958709618084519,121.7680006031945
600,10,41.49874431443681,2.957763987469056,122.7434914584274
600,10,41.84170914348174,2.956758906422571,123.7158461699323
600,10,42.18467397252667,2.955685715594103,124.6846382775914
600,10,42.52763880157161,2.954534503413074,125.6493761879319
600,10,42.87060363061654,2.953293927842324,126.6094933852349
600,10,43.21356845966147,2.951951013643988,127.5643372176716
600,10,43.5565332887064,2.950490922071547,128.5131560652354
600,10,43.89949811775134,2.948896689600534,129.4550846745618
600,10,44.24246294679627,2.947148932009904,130.3891274231384
600,10,44.5854277758412,2.945225509838447,131.3141392524671
600,10,44.92839260488613,2.94310115098333,132.2288039872713
600,10,45.27135743393107,2.940747026004737,133.1316097370302
600,10,45.614322262976,2.938130271583453,134.0208210586128
600,10,45.95728709202093,2.935213457588826,134.8944475467731
600,10,46.30025192106586,2.931953993406534,135.7502085156976
600,10,46.6432167501108,2.928303469616513,136.5854934434245
600,10,46.98618157915573,2.924206931885214,137.3973178765845
600,10,47.32914640820066,2.91960208514417,138.1822745414763
600,10,47.67211123724559,2.914418427888149,138.9364794861622
600,10,48.01507606629053,2.908576318877002,139.6555131954905
600,10,48.35804089533546,2.901985981814394,140.3343567862707
600,10,48.70100572438039,2.894546457856875,140.9673236135727
600,10,49.04397055342532,2.88614452122072,141.5479869116788
600,10,49.38693538247026,2.876653579811925,142.0691044639233
600,10,49.72990021151519,2.865932590752377,142.5225417510449
600,10,50.07286504056012,2.853825029851301,142.8991955691166
600,10,50.41582986960505,2.840157964254157,143.1889207286414
600,10,50.75879469864998,2.82474128824853,143.3804631270072
600,10,51.10175952769492,2.807367192793166,143.4614031920563
600,10,51.44472435673985,2.787809948704698,143.4181143700902
600,10,51.78768918578478,2.765826090177588,143.2357419000513
600,10,52.13065401482971,2.741155087701451,142.8982074779545
600,10,52.47361884387464,2.713520595552597,142.3882454560307
600,10,52.81658367291958,2.682632346973868,141.6874758176259
600,10,53.15954850196451,2.648188748377634,140.7765182117375
600,10,53.50251333100944,2.609880191655484,139.635149746385
600,10,53.84547816005437,2.567393061443398,138.2425070182256
600,10,54.18844298909931,2.520414364090927,136.5773300774482
600,10,54.53140781814424,2.468636851043857,134.618242879172
600,10,54.87437264718917,2.411764456941675,132.3440615474633
600,10,55.2173374762341,2.349517828575965,129.7341188469078
600,10,55.56030230527903,2.281639691629247,126.7685910186446
600,10,55.90326713432397,2.207899793297476,123.4288119505275
600,10,56.2462319633689,2.128099173558838,119.697559757044
600,10,56.58919679241383,2.042073555778832,115.5593023125526
600,10,56.93216162145876,1.949695704841874,111.0003909807215
600,10,57.2751264505037,1.850876671404182,106.0091953989619
600,10,57.61809127954863,1.745565915771124,100.5761762693695
600,10,57.96105610859356,1.633750375643188,94.69389719009061
600,10,58.30402093763849,1.515452601166339,88.35698018840091
600,10,58.64698576668342,1.39072812337464,81.56201245687886
600,10,58.98995059572836,1.259662246023602,74.30741366023653
600,10,59.33291542477329,1.12236645658993,66.59327404445278
600,10,59.67588025381822,0.9789746425261364,58.42117353891422
600,10,60.01884508286315,0.829639277677627,49.79399128159198
600,10,60.36180991190808,0.6745277154700087,40.71571374151429
600,10,60.70477474095302,0.5138186941429045,31.19124808563565
600,10,61.04773956999795,0.3476991282889911,21.22624583250164
600,10,61.39070439904288,0.1763612326521056,10.82694030119624
600,10,61.73366922808782,2.380040609040179e-14,1.469286397079031e-12
1000,10,0,5.037956998479101,0
1000,10,0.35005949901024,5.037041380366784,1.763264182105044
1000,10,0.7001189980204799,5.036125762243551,3.525887322567081
1000,10,1.05017849703072,5.03521014410777,5.287869421372934
1000,10,1.40023799604096,5.034294525957562,7.049210478506791
1000,10,1.7502974950512,5.033378907790769,8.809910493949726
1000,10,2.10035699406144,5.03246328960491,10.56996946767911
1000,10,2.45041649307168,5.03154767139713,12.32938739966793
1000,10,2.80047599208192,5.030632053164149,14.08816428988398
1000,10,3.15053549109216,5.029716434902198,15.84630013828891
