e,M_rad,E_rad,residual,condition_dE_dM,x_over_a,y_over_a
0,1.2671970367421015,1.2671970367421015,0,1,0.29895681814577035,0.95426664034962305
0,1.2935969750075618,1.2935969750075618,0,1,0.273662990072083,0.96182564317281904
0,1.3199969132730225,1.3199969132730225,0,1,0.24817844181022372,0.9687143340637886
0,1.3463968515384828,1.3463968515384828,0,1,0.22252093395631445,0.97492791218182362
0,1.3727967898039433,1.3727967898039433,0,1,0.19670834764482811,0.98046204718328667
0,1.3991967280694038,1.3991967280694038,0,1,0.17075867208693746,0.98531288223949742
0,1.425596666334864,1.425596666334864,0,1,0.14468999203354049,0.98947703672461951
0,1.4519966046003245,1.4519966046003245,0,1,0.11852047517170274,0.99295160857167342
0,1.478396542865785,1.478396542865785,0,1,0.092268359463302016,0.99573417629503447
0,1.5047964811312453,1.5047964811312453,0,1,0.065951940434695586,0.99782280067800533
0,1.531196419396706,1.531196419396706,0,1,0.039589558426269364,0.99921602612428762
0,1.5575963576621663,1.5575963576621663,0,1,0.013199585810758961,0.99991288167241066
0,1.5839962959276266,1.5839962959276266,0,1,-0.013199585810758616,0.99991288167241066
0,1.6103962341930873,1.6103962341930873,0,1,-0.039589558426269468,0.99921602612428762
0,1.6367961724585476,1.6367961724585476,0,1,-0.065951940434695239,0.99782280067800533
0,1.6631961107240083,1.6631961107240083,0,1,-0.092268359463302113,0.99573417629503447
0,1.6895960489894686,1.6895960489894686,0,1,-0.11852047517170261,0.99295160857167342
0,1.7159959872549289,1.7159959872549289,0,1,-0.14468999203354016,0.98947703672461951
0,1.7423959255203896,1.7423959255203896,0,1,-0.17075867208693757,0.98531288223949742
0,1.7687958637858499,1.7687958637858499,0,1,-0.196708347644828,0.98046204718328667
0,1.7951958020513106,1.7951958020513106,0,1,-0.22252093395631456,0.97492791218182362
0,1.8215957403167709,1.8215957403167709,0,1,-0.2481784418102238,0.9687143340637886
0,1.8479956785822311,1.8479956785822311,0,1,-0.27366299007208267,0.96182564317281916
0,1.8743956168476918,1.8743956168476918,0,1,-0.29895681814577046,0.95426664034962305
0,1.9007955551131521,1.9007955551131521,0,1,-0.32404229835116583,0.94604259358619469
0,1.9271954933786124,1.9271954933786124,0,1,-0.34890194820916648,0.93715923435446558
0,1.9535954316440731,1.9535954316440731,0,1,-0.37351844262551159,0.92762275361194779
0,1.9799953699095334,1.9799953699095334,0,1,-0.39787462596492074,0.91743979748715632
0,2.0063953081749939,2.0063953081749939,0,1,-0.42195352400713765,0.90661746264781262
0,2.0327952464404544,2.0327952464404544,0,1,-0.4457383557765382,0.89516329135506234
0,2.0591951847059149,2.0591951847059149,0,1,-0.46921254523706618,0.88308526620715067
0,2.0855951229713754,2.0855951229713754,0,1,-0.4923597328443422,0.87039180457621956
0,2.1119950612368359,2.1119950612368359,0,1,-0.51516378694689613,0.85709175274210458
0,2.1383949995022959,2.1383949995022959,0,1,-0.53760881502857716,0.84319437972721878
0,2.1647949377677564,2.1647949377677564,0,1,-0.55967917478430795,0.82870937083681873
0,2.1911948760332174,2.1911948760332174,0,1,-0.58135948502146007,0.81364682090916007
0,2.2175948142986774,2.2175948142986774,0,1,-0.60263463637925629,0.7980172272802396
0,2.2439947525641379,2.2439947525641379,0,1,-0.62348980185873348,0.78183148246802991
0,2.2703946908295984,2.2703946908295984,0,1,-0.64391044715591561,0.76510086658130816
0,2.2967946290950585,2.2967946290950585,0,1,-0.66388234079100816,0.74783703945836477
0,2.323194567360519,2.323194567360519,0,1,-0.68339156402654833,0.73005203254107032
0,2.3495945056259799,2.3495945056259799,0,1,-0.70242452056759852,0.71175824048997094
0,2.3759944438914404,2.3759944438914404,0,1,-0.72096794603722492,0.69296841254624664
0,2.4023943821569005,2.4023943821569005,0,1,-0.73900891722065898,0.67369564364655732
0,2.428794320422361,2.428794320422361,0,1,-0.75653486107169576,0.65395336529696824
0,2.4551942586878215,2.4551942586878215,0,1,-0.77353356347505309,0.63375533621231628
0,2.481594196953282,2.481594196953282,0,1,-0.78999317775858791,0.61311563272753711
0,2.5079941352187425,2.5079941352187425,0,1,-0.80590223294943486,0.59204863898763826
0,2.534394073484203,2.534394073484203,0,1,-0.82124964176831361,0.57056903692315497
0,2.560794011749663,2.560794011749663,0,1,-0.83602470835643372,0.54869179601807416
0,2.5871939500151235,2.5871939500151235,0,1,-0.85021713572961399,0.52643216287735606
0,2.6135938882805845,2.6135938882805845,0,1,-0.86381703295441636,0.50380565060132931
0,2.639993826546045,2.639993826546045,0,1,-0.87681492204129874,0.48082802797435914
0,2.666393764811505,2.666393764811505,0,1,-0.88920174454998113,0.45751530847532323
0,2.6927937030769655,2.6927937030769655,0,1,-0.90096886790241903,0.43388373911755823
