inlet_temperature_K,residence_time_s,steady_temperature_K,heat_release_rate_W_m3,X_CH4,X_CO,X_CO2,X_H2O
575,0.0001475754392359905,575,-3.070635177893716e-08,0.0499001996007984,-4.937441950293651e-31,-1.635698798726814e-31,2.392997446781119e-23
575,0.0001338938296164157,575,-3.070644232007783e-08,0.0499001996007984,-4.066848366919935e-31,-1.346403959220743e-31,1.962461403826212e-23
575,0.0001214806318867293,575,-3.070652446095721e-08,0.0499001996007984,-3.345893920452575e-31,-1.108269379364233e-31,1.608800356182352e-23
575,0.000110218252520501,575,-3.070659897991891e-08,0.0499001996007984,-2.757141273788183e-31,-9.122481252039298e-32,1.31834998613245e-23
575,0.0001,575,-3.070666658311561e-08,0.0499001996007984,-2.273286237410834e-31,-7.508930360900112e-32,1.079868798875797e-23
600,0.1,1716.474091203206,2841162.475972963,1.199641260157471e-05,0.0002615689988725671,0.04960002399976545,0.09920320422125245
600,0.0907290740990469,1716.121548139799,3130984.994075737,1.276860791007498e-05,0.0002793032219911923,0.04958017717108527,0.09918120126642439
600,0.08231764886870344,1715.749143409033,3450340.816926928,1.358877991580699e-05,0.0002982500339296656,0.04955899224919914,0.09915821538210913
600,0.07468604063867915,1715.355735413889,3802234.245249058,1.445998587367124e-05,0.0003184914121964591,0.0495363796512527,0.09913420369140361
600,0.06776195315271148,1714.940111524014,4189974.331091582,1.538548441569845e-05,0.0003401148153497699,0.04951224383074745,0.09910912105768704
600,0.06147979268688505,1714.500984086177,4617205.632875945,1.63687502374018e-05,0.0003632135349910752,0.04948648289481267,0.09908291999265366
600,0.05578004666282432,1714.036986232099,5087942.05913434,1.741349016087967e-05,0.0003878870697778448,0.04945898819725008,0.09905555056175969
600,0.05060871986919682,1713.546667484991,5606604.096793508,1.852366072553418e-05,0.0004142415227652064,0.04942964390586555,0.09902696028720487
600,0.04591682295070265,1713.028489158938,6178059.757488404,1.970348748269607e-05,0.0004423900235657675,0.04939832654238745,0.0989970940484687
600,0.04165990831887118,1712.480819545756,6807669.60743535,2.09574861954018e-05,0.000472453176945715,0.04936490449312212,0.09896589398048788
600,0.03779764908822364,1711.90192888428,7501336.281323802,2.229048617339259e-05,0.0005045595396242591,0.04932923748831525,0.09893329936961352
600,0.03429345704895213,1711.289984107489,8265558.918860848,2.370765600669446e-05,0.0005388461272164717,0.0492911760479875,0.09889924654755571
600,0.0311141360570686,1710.643043363102,9107493.004111758,2.521453199967357e-05,0.0005754589534617019,0.04925056089176718,0.09886366878357775
600,0.02822956755849604,1709.959050303575,10035016.13313911,2.681704965207319e-05,0.0006145536041160267,0.04920722230996636,0.09882649617526147
600,0.02561242526798837,1709.23582814161,11056800.28466594,2.852157858531738e-05,0.0006562958481649072,0.04916097949281385,0.09878765553822597
600,0.02323791629995618,1708.471073467246,12182391.22214344,3.033496137252548e-05,0.0007008622893394319,0.04911163981437128,0.09874707029522782
600,0.02108354629886174,1707.662349822618,13422295.71381678,3.226455680072526e-05,0.000748441061305198,0.04905899806720093,0.0987046603651215
600,0.01912890634420113,1706.807081030003,14788077.32061807,3.43182881754626e-05,0.0007992325703489468,0.0490028356433116,0.09866034205218728
600,0.01735547961136752,1705.90254426824,16292461.57025517,3.650469737355235e-05,0.0008534502899275945,0.04894291965627027,0.09861402793636323
600,0.01574646595684261,1704.945862891433,17949451.41005215,3.883300546167014e-05,0.0009113216120821689,0.04887900199860795,0.0985656267649042
600,0.01428662276596493,1703.933998982249,19774453.91138666,4.131318083006981e-05,0.0009730887614747342,0.04881081832775093,0.09851504334597497
600,0.01296212055558362,1702.863745629717,21784419.28518776,4.395601594572756e-05,0.001039009778699491,0.04873808697264807,0.09846217844461209
600,0.01176041196368325,1701.73171891796,23997993.3613505,4.677321401249019e-05,0.001109359580575536,0.04866050775200115,0.09840692868137763
600,0.01067011288488335,1700.534349607664,26435684.78535341,4.977748704308826e-05,0.00118443110637632,0.0485777606935188,0.09834918643385072
600,0.009680894625777765,1699.267874485704,29120048.29321822,5.298266710648854e-05,0.001264536560422419,0.04848950464184838,0.09828883974084733
600,0.008783386058472559,1697.928327349999,32075885.5412953,5.640383282293308e-05,0.001350008763199541,0.04839537574075217,0.09822577220889238
600,0.007969084845396922,1696.511529585652,35330465.09054308,6.005745354944335e-05,0.001441202625205323,0.048294985772627,0.09815986291997879
600,0.007230276894396091,1695.013080274291,38913763.27596109,6.396155414461341e-05,0.001538496760130064,0.0481879203355468,0.09809098633897687
600,0.00655996328108289,1693.428345760321,42858727.83038434,6.81359037411123e-05,0.001642295256796521,0.04807373683455793,0.0980190122181831
600,0.00595179394616397,1691.75244857468,47201566.27800339,7.260223260999823e-05,0.001753029632593835,0.04795196225987639,0.09794380549533416
600,0.00540000753963769,1689.980255587499,51982061.2656396,7.738448200176508e-05,0.001871160995023056,0.04782209071981199,0.0978652261799154
600,0.004899376841991999,1688.106365224184,57243915.15847027,8.250909283208278e-05,0.001997182442524314,0.0476835806905247,0.09778312922063324
