Tr,v_over_b,P_over_Pc
0.7,57.32317661366883,0.1329388135450848
0.7,57.82820554119422,0.1319777889487
0.7,58.33768387701664,0.1310218132943248
0.7,58.85165082133458,0.1300708973038651
0.7,59.37014591970831,0.1291250507346447
0.7,59.89320906610251,0.1281842824009798
0.7,60.42088050595595,0.1272486001953831
0.7,60.95320083927793,0.1263180111094029
0.7,61.49021102377213,0.1253925212541045
0.7,62.03195237798802,0.1244721358801957
0.7,62.57846658449993,0.1235568593978044
0.7,63.12979569311422,0.1226466953959117
0.7,63.68598212410464,0.1217416466614468
0.7,64.24706867147627,0.120841715198047
0.7,64.81309850625813,0.1199469022444896
0.7,65.38411517982485,0.1190572082927989
0.7,65.96016262724753,0.118172633106034
0.7,66.54128517067433,0.117293175735762
0.7,67.12752752274058,0.1164188345392215
0.7,67.7189347900091,0.1155496071961793
0.7,68.31555247644076,0.1146854907254883
0.7,68.91742648689562,0.1138264815013474
0.7,69.524603130665,0.1129725752692704
0.7,70.13712912503453,0.112123767161767
0.7,70.75505159887872,0.1112800517137408
0.7,71.37841809628715,0.1104414228776086
0.7,72.00727658022245,0.1096078740381447
0.7,72.64167543621087,0.1087793980270553
0.7,73.28166347606505,0.1079559871372861
0.7,73.92728994163969,0.1071376331370677
0.7,74.57860450862029,0.1063243272837038
0.7,75.23565729034536,0.1055160603371035
0.7,75.89849884166216,0.1047128225730648
0.7,76.5671801628165,0.1039146037963113
0.7,77.24175270337682,0.1031213933532856
0.7,77.92226836619278,0.1023331801447053
0.7,78.60877951138885,0.1015499526378826
0.7,79.30133896039277,0.1007716988788133
0.7,80,0.09999840650403799
0.8,1.005,2014.346278250758
0.8,1.013854255855074,700.6677980649094
0.8,1.022786519517856,410.4249964002803
0.8,1.031797478253112,283.2376817396264
0.8,1.040887825380548,212.0248581336583
0.8,1.050058260328161,166.6235437778423
0.8,1.059309488686051,135.2389790045185
0.8,1.068642222260711,112.3101249750891
0.8,1.078057179129797,94.8721180240147
0.8,1.087555083697374,81.19965102542123
0.8,1.097136666749656,70.22053392421952
0.8,1.106802665511232,61.23340863186082
0.8,1.116553823701794,53.76022147221533
0.8,1.126390891593353,47.46393214671738
0.8,1.136314626067972,42.10011400924368
0.8,1.146325790676,37.48720732896079
0.8,1.156425155694822,33.48754490725106
0.8,1.166613498188121,29.99485792401601
0.8,1.176891602065674,26.92581908609526
0.8,1.187260258143661,24.21417886415886
0.8,1.197720264205517,21.80661232070667
0.8,1.208272425063311,19.65972135887948
0.8,1.21891755261967,17.7378340159793
0.8,1.229656465930252,16.01136407114884
0.8,1.240489991266762,14.45557132084507
0.8,1.251418962180528,13.0496128267174
0.8,1.262444219566635,11.77580847078372
0.8,1.273566611728627,10.61906640005376
0.8,1.284786994443777,9.56642918141408
0.8,1.296106231028928,8.606712087945397
0.8,1.307525192406923,7.730212417234925
0.8,1.319044757173616,6.928474089305295
0.8,1.330665811665465,6.194095641226596
0.8,1.34238925002774,5.520572567489787
0.8,1.354215974283309,4.90216704990427
0.8,1.366146894402048,4.333799685440045
0.8,1.378182928370854,3.810959000004291
0.8,1.390325002264278,3.329625433128531
0.8,1.402574050315774,2.886207166211389
0.8,1.414931014989589,2.477485698215772
0.8,1.427396847053268,2.100569486112713
0.8,1.439972505650815,1.752854291250173
0.8,1.452658958376492,1.431989128232755
0.8,1.465457181349259,1.135846915542277
0.8,1.478368159287887,0.8624990888504612
0.8,1.491392885586723,0.6101935677537621
0.8,1.504532362392118,0.377335571355001
0.8,1.517787600679539,0.1624708630020899
0.8,1.531159620331356,-0.03572892635237001
0.8,1.544649450215308,-0.2184791901103219
0.8,1.558258128263672,-0.3868937007235633
0.8,1.57198670155312,-0.5419946361408878
0.8,1.585836226385284,-0.6847214551963505
0.8,1.599807768368031,-0.8159387726502793
0.8,1.613902402497449,-0.9364433624842308
0.8,1.628121213240565,-1.046970399523134
0.8,1.642465294618779,-1.148199033878069
0.8,1.656935750292047,-1.240757379559919
