sample_id,branch,e,M_rad,orekit_E_rad,mpmath_E_rad,absolute_error,orekit_residual
kepler_0001511,ordinary,0.31891001247632189,1.3056466130654443,1.6241036148103527,1.6241036148103527,0,0
kepler_0001512,difficult,0.9999999999844672,0.0037583195915974242,0.28289655194252367,0.28289655194252394,2.7755575615628914e-16,2.3418766925686896e-17
kepler_0001513,high_e,0.9436628208251181,2.7559374403494954,2.9425389931946828,2.9425389931946828,0,0
kepler_0001514,ordinary,0.017547790129665342,2.9389509146618416,2.9424228435745663,2.9424228435745663,0,0
kepler_0001515,ordinary,0.23882272008245378,1.5464540800676505,1.7800663624588307,1.7800663624588307,0,2.2204460492503131e-16
kepler_0001516,difficult,0.99999997443262267,2.0019259585062158e-05,0.049341035160901561,0.049341035160903331,1.7694179454963432e-15,4.2554935270056049e-18
kepler_0001517,high_e,0.93101144282685278,1.5155209338874764,2.2436278940532048,2.2436278940532048,0,2.2204460492503131e-16
kepler_0001518,ordinary,0.49511475564011376,1.243668686909563,1.7323373450108512,1.732337345010851,2.2204460492503131e-16,2.2204460492503131e-16
kepler_0001519,ordinary,0.4443633448831642,2.2424986479299354,2.5062187395316284,2.5062187395316284,0,0
kepler_0001520,difficult,0.99999993397394182,0.0017951471998563396,0.22102236409178344,0.2210223640917833,1.3877787807814457e-16,1.1058862159352145e-17
kepler_0001521,high_e,0.98541201321290806,0.64182358040314891,1.62574814263246,1.62574814263246,0,0
kepler_0001522,ordinary,0.81748641892341944,1.0293599189074096,1.82132552406014,1.82132552406014,0,0
kepler_0001523,ordinary,0.54840683754706421,0.67998478497319248,1.1888800952620873,1.1888800952620873,0,0
kepler_0001524,difficult,0.99999999995871924,1.6930615511141239e-07,0.010052522236958459,0.010052522236969043,1.05835479269345e-14,2.1665514603988901e-19
kepler_0001525,high_e,0.95623287717740924,1.1311885469107312,2.0004925386073866,2.0004925386073866,0,2.2204460492503131e-16
kepler_0001526,ordinary,0.6309800669985639,2.0792294373504081,2.4712357218902614,2.4712357218902614,0,0
kepler_0001527,ordinary,0.79317782130961467,2.6857735478249389,2.8861719194464674,2.8861719194464674,0,0
kepler_0001528,difficult,0.99999999971792353,0.00056858745157631427,0.15059607678014,0.15059607678014042,4.163336342344337e-16,8.6736173798840355e-19
kepler_0001529,high_e,0.98590734680415504,2.2516272785061071,2.6856929798617597,2.6856929798617601,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001530,ordinary,0.27992885579994964,0.22246169147284003,0.30707674492285075,0.3070767449228507,5.5511151231257827e-17,2.7755575615628914e-17
kepler_0001531,ordinary,0.18962930604695169,1.2314484412791751,1.4188941724926614,1.4188941724926614,0,0
kepler_0001532,difficult,0.99999999800476036,5.4003273459153929e-07,0.01479735578004478,0.014797355780044147,6.3317406873153459e-16,1.9735867671025198e-19
kepler_0001533,high_e,0.93230259651043457,0.0096430493759943302,0.13659864318814588,0.13659864318814763,1.7486012637846216e-15,1.3530843112619095e-16
kepler_0001534,ordinary,0.53197845352735995,2.4366395026928025,2.6756424698615251,2.6756424698615247,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001535,ordinary,0.79735642966902232,1.8803754433082214,2.4119160527667267,2.4119160527667267,0,2.2204460492503131e-16
kepler_0001536,difficult,0.99999999998179945,5.8204577314936905e-05,0.070426919896246651,0.070426919896248191,1.5404344466674047e-15,1.2061749168901237e-18
kepler_0001537,high_e,0.97630987149307713,2.6130612671572724,2.8725617855699386,2.8725617855699381,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001538,ordinary,0.047687572383559806,2.959946742638961,2.9681752110270647,2.9681752110270643,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001539,ordinary,0.71498347332382095,0.24056400665165198,0.7025763539855574,0.7025763539855574,0,2.7755575615628914e-17
kepler_0001540,difficult,0.99999999960460828,5.907595979680864e-05,0.070776682586430675,0.070776682586431869,1.1934897514720433e-15,8.4838819996990722e-18
kepler_0001541,high_e,0.90011246789649102,1.7781291529572985,2.3916457374441769,2.3916457374441773,4.4408920985006262e-16,2.2204460492503131e-16
kepler_0001542,ordinary,0.43400363795771557,1.9024827788036907,2.2422673969784355,2.2422673969784355,0,2.2204460492503131e-16
kepler_0001543,ordinary,0.80209897752526627,1.6477038920252085,2.264449977863435,2.264449977863435,0,2.2204460492503131e-16
kepler_0001544,difficult,0.99999997964170195,6.9642958711391384e-07,0.01610435002674598,0.016104350026742223,3.7574110489657642e-15,8.5656206791091122e-20
kepler_0001545,high_e,0.90555947957455685,0.61730404173180209,1.52177569954193,1.52177569954193,0,0
kepler_0001546,ordinary,0.68173874524511413,0.96206401060947866,1.6420718063029349,1.6420718063029349,0,1.1102230246251565e-16
kepler_0001547,ordinary,0.89144728266273676,1.3095216356406418,2.0854803951003738,2.0854803951003738,0,0
kepler_0001548,difficult,0.99999999936072848,3.181169525432282e-08,0.0057574411995687793,0.0057574411995868985,1.811918670657775e-14,2.5295844876361629e-19
kepler_0001549,high_e,0.91431213290445446,2.4221091469695071,2.7614053035045445,2.7614053035045445,0,0
kepler_0001550,ordinary,0.24760570645753238,1.195425083594176,1.4409462771531567,1.4409462771531567,0,0
kepler_0001551,ordinary,0.51308731622382153,0.73149409440181068,1.2118878961751038,1.2118878961751038,0,0
kepler_0001552,difficult,0.99999999992916555,1.8728568405367265e-06,0.022398664229758163,0.022398664229758697,5.3429483060085659e-16,7.1849569750846026e-19
kepler_0001553,high_e,0.98669780489651426,2.1754339266447427,2.6452831798669667,2.6452831798669667,0,4.4408920985006262e-16
kepler_0001554,ordinary,0.29559942984024756,0.92931522413639345,1.2053998162106787,1.2053998162106785,2.2204460492503131e-16,1.1102230246251565e-16
kepler_0001555,ordinary,0.52302249233117548,2.9333569946300067,3.004720763365015,3.004720763365015,0,0
kepler_0001556,difficult,0.99999998987467442,0.00026120809488555896,0.11618311528036168,0.11618311528036088,8.0491169285323849e-16,2.3310346708438345e-18
kepler_0001557,high_e,0.92656105628786645,0.43509387870644362,1.3362953407603373,1.3362953407603373,0,5.5511151231257827e-17
kepler_0001558,ordinary,0.23384834826049675,2.2246502173456015,2.3851494573024854,2.3851494573024854,0,0
kepler_0001559,ordinary,0.4090811951789658,2.9301209514442084,2.9913510180776774,2.9913510180776774,0,0
kepler_0001560,difficult,0.99999991398602284,4.0760783678197053e-05,0.062537493959136811,0.062537493959136353,4.5796699765787707e-16,4.4723339615027058e-18
kepler_0001561,high_e,0.96797117185149584,1.4566533629069094,2.2248553820400518,2.2248553820400518,0,2.2204460492503131e-16
kepler_0001562,ordinary,0.45931643241846914,0.94701932777433029,1.3996231280314659,1.3996231280314657,2.2204460492503131e-16,1.1102230246251565e-16
kepler_0001563,ordinary,0.63291449902861796,2.8229883293815332,2.9459962657010506,2.9459962657010506,0,4.4408920985006262e-16
kepler_0001564,difficult,0.9999999986773529,0.00039046842567429653,0.13285362754587979,0.13285362754588045,6.6613381477509392e-16,9.7578195523695399e-18
kepler_0001565,high_e,0.96234723685963897,0.49058977137951859,1.4453782049755202,1.4453782049755202,0,5.5511151231257827e-17
kepler_0001566,ordinary,0.87852681513668895,0.77596321433749005,1.6516219775856424,1.6516219775856424,0,0
kepler_0001567,ordinary,0.32946185323607668,1.3280725487860998,1.656329964610582,1.656329964610582,0,0
kepler_0001568,difficult,0.99999999323702038,8.8705199863151104e-08,0.0081023524764412495,0.0081023524764283188,1.293062878993112e-14,1.149039897619861e-18
kepler_0001569,high_e,0.98886043254039813,0.62942413409628273,1.6172192188853833,1.6172192188853831,2.2204460492503131e-16,1.1102230246251565e-16
kepler_0001570,ordinary,0.38205383720891312,1.8445622380548197,2.1618105636940559,2.1618105636940559,0,2.2204460492503131e-16
kepler_0001571,ordinary,0.69699124101027965,1.9520335734741603,2.4150417269977882,2.4150417269977882,0,2.2204460492503131e-16
kepler_0001572,difficult,0.99999999954754992,2.2997467277219126e-06,0.023985414851638111,0.023985414851636536,1.5751289161869408e-15,1.5585406229479126e-19
kepler_0001573,high_e,0.92705366865559791,2.0929218302314467,2.5837020343180099,2.5837020343180099,0,0
kepler_0001574,ordinary,0.035231172323161829,0.48745029173392002,0.50447933896374042,0.50447933896374042,0,5.5511151231257827e-17
kepler_0001575,ordinary,0.46766174577548048,1.9511031550572433,2.2998787380757291,2.2998787380757291,0,0
kepler_0001576,difficult,0.99999997983984312,7.5545894361238316e-08,0.0076764002422943164,0.0076764002422970703,2.7538735181131813e-15,7.1886627442288402e-19
kepler_0001577,high_e,0.95295263146206477,0.54072128456133739,1.4906120434129964,1.4906120434129966,2.2204460492503131e-16,1.1102230246251565e-16
kepler_0001578,ordinary,0.15339877098600488,1.4344925631416929,1.5878689786833846,1.5878689786833846,0,0
kepler_0001579,ordinary,0.51694159917598348,2.3481697135828776,2.6101459248965884,2.6101459248965884,0,4.4408920985006262e-16
kepler_0001580,difficult,0.99999991246998143,8.7960576746753767e-05,0.080819362693422117,0.080819362693422922,8.0491169285323849e-16,8.1450688207973521e-18
kepler_0001581,high_e,0.91352295753953461,2.9114226179676281,3.0211677896086919,3.0211677896086919,0,4.4408920985006262e-16
kepler_0001582,ordinary,0.21509444063419608,2.1559007100308012,2.3142406944982841,2.3142406944982845,4.4408920985006262e-16,0
kepler_0001583,ordinary,0.62927321688724502,1.1357697069817345,1.7544593671516107,1.7544593671516107,0,0
kepler_0001584,difficult,0.99999999293539121,2.3173812527444168e-07,0.011160094933783064,0.011160094933781917,1.1466522176206695e-15,1.555099551599692e-19
kepler_0001585,high_e,0.9705268291568131,0.14369194045072506,0.90981819625574234,0.90981819625574234,0,2.7755575615628914e-17
kepler_0001586,ordinary,0.69167191043804244,0.42352548065630952,1.0088212391996054,1.0088212391996054,0,5.5511151231257827e-17
kepler_0001587,ordinary,0.37649457058094637,1.0196158808958828,1.3899720011178125,1.3899720011178125,0,0
kepler_0001588,difficult,0.99999998788298983,1.2089168796741346e-06,0.019356367358962241,0.019356367358959018,3.2231162183649076e-15,1.2855842556952143e-18
kepler_0001589,high_e,0.92427646908447736,0.72137994876874434,1.6432326302725333,1.6432326302725333,0,0
kepler_0001590,ordinary,0.010459395103483805,0.44323967000422987,0.44776811487947066,0.44776811487947066,0,5.5511151231257827e-17
kepler_0001591,ordinary,0.29906021375852038,1.0283501707566911,1.3178976396159956,1.3178976396159956,0,0
kepler_0001592,difficult,0.99999994321863062,0.00274867126517784,0.25481634906386402,0.25481634906386436,3.3306690738754696e-16,3.5561831257524545e-17
kepler_0001593,high_e,0.97719669321156988,0.36537446053087491,1.3093676876826963,1.3093676876826963,0,5.5511151231257827e-17
kepler_0001594,ordinary,0.6613213283564997,0.4512586694626245,1.0119830162317898,1.0119830162317898,0,0
kepler_0001595,ordinary,0.23865979333880052,0.71240146377486435,0.89923682873071653,0.89923682873071653,0,0
kepler_0001596,difficult,0.99999999976735199,5.1229169628608862e-05,0.067492541680575863,0.067492541680577417,1.5543122344752192e-15,7.7046116882251159e-18
kepler_0001597,high_e,0.93349201121366454,0.94781007212764057,1.8461393107291277,1.846139310729128,2.2204460492503131e-16,1.1102230246251565e-16
kepler_0001598,ordinary,0.34281801662303213,2.7965136192935462,2.883885592080853,2.8838855920808535,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001599,ordinary,0.25758585732676875,2.3786433077560298,2.5271437054034513,2.5271437054034509,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001600,difficult,0.99999999809027784,7.2317040558741369e-06,0.035140253768254588,0.035140253768254803,2.1510571102112408e-16,1.6025863362051362e-18
kepler_0001601,high_e,0.97760972205934826,0.061291998771522631,0.66297910836830953,0.6629791083683092,3.3306690738754696e-16,6.2450045135165055e-17
kepler_0001602,ordinary,0.28723475380828911,0.38333517583071625,0.52806114514362468,0.52806114514362468,0,5.5511151231257827e-17
kepler_0001603,ordinary,0.49600719971823592,1.532315505584315,1.9861491929047448,1.986149192904745,2.2204460492503131e-16,2.2204460492503131e-16
kepler_0001604,difficult,0.99999999903183923,2.4725867711706903e-07,0.0114050030903948,0.011405003090392938,1.861358289723114e-15,9.4560640649101954e-19
kepler_0001605,high_e,0.96223266223659398,1.8937446593057872,2.4827929115914902,2.4827929115914902,0,0
kepler_0001606,ordinary,0.86128376100097526,2.8770340960863132,2.9992326897319046,2.9992326897319046,0,0
kepler_0001607,ordinary,0.012921765644304374,0.8309232806323924,0.8405501278023263,0.8405501278023263,0,0
kepler_0001608,difficult,0.99999999880037627,2.0450189672056568e-06,0.02306489184151005,0.023064891841509224,8.2572837456496018e-16,2.4818065354551e-19
kepler_0001609,high_e,0.97753302350706417,1.3338356471596147,2.1512580648448467,2.1512580648448467,0,2.2204460492503131e-16
kepler_0001610,ordinary,0.044853166136348654,1.5985541477464134,1.6432895079337249,1.6432895079337251,2.2204460492503131e-16,0
kepler_0001611,ordinary,0.66464592345845697,2.0154286040066967,2.4429267141560489,2.4429267141560489,0,0
kepler_0001612,difficult,0.99999999982003984,1.7639740012206591e-05,0.047303935123962845,0.047303935123964413,1.5681900222830336e-15,4.4892746204477918e-18
kepler_0001613,high_e,0.97125598648071509,1.7010951967052419,2.3749064082198061,2.3749064082198057,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001614,ordinary,0.15001151581424246,2.2059052916546653,2.3161417997334666,2.3161417997334666,0,0
kepler_0001615,ordinary,0.82745345150754068,3.0227963914288676,3.076565456951903,3.0765654569519025,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001616,difficult,0.99999997793935991,3.5091686744837362e-05,0.059493845337971973,0.059493845337972258,2.8449465006019636e-16,1.7686047938669791e-18
kepler_0001617,high_e,0.91968511807203701,0.57314127377165136,1.489812194674784,1.489812194674784,0,0
