method,index,near_knot,multi_root,root_abs,residual,status,path
fp32,136,0,1,3.1263972486428315e-06,1.504133617714755e-06,1,0
fp32,137,1,0,8.3250069060625265e-08,1.0569141758562277e-07,1,0
fp32,138,0,1,1.500997669712234e-06,6.9221843811754868e-07,1,0
fp32,139,0,1,2.0656751891223735e-06,3.281976809109636e-07,1,0
fp32,140,0,0,4.7132136415939385e-08,8.3622406482157911e-08,1,0
fp32,141,0,1,5.817304000865775e-05,1.8499322067457909e-06,1,0
fp32,142,0,0,4.261328219179461e-07,5.3822118297185613e-07,1,0
fp32,143,0,1,4.3368628448448021e-06,8.0346128823343115e-07,1,0
fp32,144,0,1,9.4947903672704115e-06,1.7669125112637211e-06,1,0
fp32,145,0,1,1.7146446529281434e-07,2.992723033269745e-08,1,0
fp32,146,0,1,3.9285689941159774e-06,5.6136487891974967e-07,1,0
fp32,147,0,1,1.2843049135291551e-06,6.3685198836409192e-07,1,0
fp32,148,0,1,1.3793854538590722e-06,2.6818795689853633e-07,1,0
fp32,149,0,1,1.6527272341804178e-06,2.9952555263065991e-07,1,0
fp32,150,0,1,8.574130213823139e-06,7.3776027875987809e-07,1,0
fp32,151,0,1,8.9309802500103785e-06,4.3916871555309074e-07,1,0
fp32,152,0,0,8.2041124027654178e-07,1.3114310603444022e-06,1,0
fp32,153,0,1,1.09756540793704e-05,1.8721880835766172e-06,1,0
fp32,154,0,1,8.3481972961152451e-06,1.3271649102215937e-06,1,0
fp32,155,0,1,5.2223303370624308e-07,2.7169994701044545e-07,1,0
fp32,156,0,0,1.0536611378952898e-06,1.8013445461106206e-06,1,0
fp32,157,0,1,3.8068332202101374e-06,7.5452751351616928e-07,1,0
fp32,158,0,0,8.3665145744760139e-07,8.160086245121348e-07,1,0
fp32,159,0,1,3.9324143048524718e-06,1.8900264500454502e-06,1,0
fp32,160,0,1,1.0493744408535122e-05,6.389722931178404e-07,1,0
fp32,161,0,1,2.385523137249379e-06,3.8124921266783069e-07,1,0
fp32,162,0,1,1.3312434838930187e-05,1.6454966508443304e-06,1,0
fp32,163,0,1,1.0851497997954596e-06,5.154734605438095e-07,1,0
fp32,164,0,1,5.3194749805030028e-07,2.7719202331140948e-07,1,0
