channel,unit,finite,nonfinite,min,median,max
AB2N007The,deg,48001,0,10.161999995315954,10.162000000000006,10.1620000056327
AB2N008The,deg,48001,0,9.010999998844115,9.011000000000003,9.011000000319886
AB2N009The,deg,48001,0,7.794999998649322,7.7949999999999635,7.795000000581388
AB2N010The,deg,48001,0,6.543999999999957,6.543999999999999,6.544000000000035
AB2N011The,deg,48001,0,5.3609999985346795,5.3609999999999784,5.361000000412216
AB2N012The,deg,48001,0,4.187999999766571,4.187999999999987,4.188000000094681
AB2N013The,deg,48001,0,3.124999998482725,3.125000000000101,3.1250000102576068
AB2N014The,deg,48001,0,2.318999999640937,2.3190000000001567,2.319000000196123
AB2N015The,deg,48001,0,1.5259999997065181,1.526000000000173,1.5260000042227568
AB2N016The,deg,48001,0,0.8629999858213337,0.8630000000001382,0.8630000003021925
AB2N017The,deg,48001,0,0.36999999977693704,0.37000000000009436,0.37000000041419523
AB2N018The,deg,48001,0,0.10599999988524218,0.10599999999999836,0.1060000000944363
AB2N019The,deg,48001,0,0.10599999981813074,0.10600000000002258,0.10600000009443948
AB3N001The,deg,48001,0,13.307999999999966,13.308000000000002,13.308000000000035
AB3N002The,deg,48001,0,13.307999999205908,13.308000000000003,13.308000000337517
AB3N003The,deg,48001,0,13.307999999205897,13.308000000000003,13.30800000033751
AB3N004The,deg,48001,0,13.307999999205897,13.308000000000003,13.30800000033751
AB3N005The,deg,48001,0,13.307999999205897,13.308000000000005,13.30800000033751
AB3N006The,deg,48001,0,11.479999997885614,11.480000000000015,11.480000005376924
AB3N007The,deg,48001,0,10.161999999191746,10.161999999999999,10.162000001073666
AB3N008The,deg,48001,0,9.0109999998893,9.011000000000003,9.011000000104934
AB3N009The,deg,48001,0,7.794999998596327,7.7949999999999955,7.795000000142505
AB3N010The,deg,48001,0,6.543999999999967,6.544,6.544000000000034
AB3N011The,deg,48001,0,5.360999986522572,5.360999999999991,5.361000000485768
AB3N012The,deg,48001,0,4.1879999998673405,4.188000000000005,4.1880000001987945
AB3N013The,deg,48001,0,3.124999999779253,3.125000000000002,3.125000000161381
AB3N014The,deg,48001,0,2.318999999811145,2.319000000000006,2.3190000002220033
AB3N015The,deg,48001,0,1.5259999996199178,1.526,1.5260000000878426
AB3N016The,deg,48001,0,0.8629999997689771,0.8629999999999937,0.8630000006241014
AB3N017The,deg,48001,0,0.36999999991153254,0.3700000000000012,0.3700000001589464
AB3N018The,deg,48001,0,0.1059999996397856,0.10600000000001904,0.10600000050305926
AB3N019The,deg,48001,0,0.1059999996397856,0.10600000000001107,0.10600000050305924
AB1N001AxI,-,48001,0,1.0,1.0,1.0
AB1N002AxI,-,48001,0,0.0,0.0,0.0
AB1N003AxI,-,48001,0,0.0,0.0,0.0
AB1N004AxI,-,48001,0,0.0,0.0,0.0
AB1N005AxI,-,48001,0,-1.0,-0.08297095671198336,0.2811753488694327
AB1N006AxI,-,48001,0,-1.0,-0.11437029394931074,0.27296619822589635
AB1N007AxI,-,48001,0,-1.0,-0.129475160689025,0.24997118419816278
AB1N008AxI,-,48001,0,-1.0,-0.14067933657132786,0.2485290728898022
AB1N009AxI,-,48001,0,-1.0,-0.14365310801126535,0.29175640495659105
AB1N010AxI,-,48001,0,-1.0,-0.1446609921806301,0.32050042753057884
AB1N011AxI,-,48001,0,-1.0,-0.16152350039883842,0.48576087445919275
AB1N012AxI,-,48001,0,-1.0,-0.1790610210456301,0.8412810973307284
AB1N013AxI,-,48001,0,-1.0,-0.21175884549508786,1.5
AB1N014AxI,-,48001,0,-0.638541685879804,-0.21298072007084945,1.5
AB1N015AxI,-,48001,0,-0.33431794720407826,-0.20418923141981687,1.5
AB1N016AxI,-,48001,0,-0.22190912040961913,-0.19010515517674992,1.5
AB1N017AxI,-,48001,0,-0.19877941033428595,-0.18789356116311567,1.5
AB1N018AxI,-,48001,0,-0.20512296563707214,-0.19286892543115203,1.5
AB1N019AxI,-,48001,0,1.0,1.0,1.0
AB2N001AxI,-,48001,0,1.0,1.0,1.0
AB2N002AxI,-,48001,0,0.0,0.0,0.0
AB2N003AxI,-,48001,0,0.0,0.0,0.0
AB2N004AxI,-,48001,0,0.0,0.0,0.0
AB2N005AxI,-,48001,0,-1.0,-0.08339283010606005,0.28117534904613817
