domain,n,method,timing_kind,speedup_median,ci95_low,ci95_high,significant_speedup
cstr,1,adaptive_frozen_v1,kernel,0.996542654992685,0.9785885119784149,1.279009513033929,False
cstr,1,adaptive_no_gradient_gate,e2e,0.8109229821128536,0.7961653943872493,1.0296093855685786,False
cstr,1,adaptive_no_gradient_gate,kernel,0.9938801823000571,0.9756884383944384,1.2782058054088201,False
cstr,1,fp32,e2e,0.8324033228465233,0.8053711262245536,1.0351845587510975,False
cstr,1,fp32,kernel,1.0644306041512195,1.0448203382891355,1.3697000204072476,True
cstr,1,fp64,e2e,0.0881977663818335,0.086458039001481,0.1131097967364934,False
cstr,1,fp64,kernel,0.08993839058916969,0.08834349294714891,0.11544626705364774,False
cstr,8,adaptive_frozen_v1,e2e,0.8516944508383479,0.8420360155961644,0.8556109334803794,False
cstr,8,adaptive_frozen_v1,kernel,1.0450287064034978,1.0411733631577709,1.0571291764848225,True
cstr,8,adaptive_no_gradient_gate,e2e,0.8506184634258316,0.8457478872560713,0.8585388408587669,False
cstr,8,adaptive_no_gradient_gate,kernel,1.0462547973194667,1.0406120896536495,1.0576239145274162,True
cstr,8,fp32,e2e,0.8666839921894558,0.8603330777701201,0.8754369602095435,False
cstr,8,fp32,kernel,1.1180785523564862,1.1145852616701268,1.1294420080939693,True
cstr,8,fp64,e2e,0.09295630710104966,0.09228928343071108,0.09342400796637837,False
cstr,8,fp64,kernel,0.09386816712888514,0.09370601325165497,0.0948586282779367,False
cstr,32,adaptive_frozen_v1,e2e,1.0078537687616707,0.9500839006431164,1.0348556301038672,False
cstr,32,adaptive_frozen_v1,kernel,1.2242354676950917,1.215771652854432,1.2319490236908437,True
cstr,32,adaptive_no_gradient_gate,e2e,1.03197789504773,1.0238791524305109,1.0442261825284758,True
cstr,32,adaptive_no_gradient_gate,kernel,1.223034183493386,1.214337152318466,1.2382888667894387,True
cstr,32,fp32,e2e,1.0427388680771643,1.0366964086201331,1.0514333027548375,True
cstr,32,fp32,kernel,1.3112396374628843,1.3060231396398492,1.3192554548725728,True
cstr,32,fp64,e2e,0.10827468559781761,0.10720499049925591,0.10940913928723581,False
cstr,32,fp64,kernel,0.11005946230994687,0.10937607781380884,0.11101987713654032,False
cstr,128,adaptive_frozen_v1,e2e,0.13364661112582596,0.1325815789203814,0.13452812180830712,False
cstr,128,adaptive_frozen_v1,kernel,0.13663838340731937,0.13568201342064226,0.1371979798063941,False
cstr,128,adaptive_no_gradient_gate,e2e,0.13355958199459023,0.1328893964417705,0.13460315355824742,False
cstr,128,adaptive_no_gradient_gate,kernel,0.13667966394327902,0.13577260497401072,0.13719850990822866,False
cstr,128,fp32,e2e,1.3148619070168892,1.2621744384098195,1.3692092422003923,True
cstr,128,fp32,kernel,1.7244171975469627,1.7143004008606653,1.7339201866207703,True
cstr,128,fp64,e2e,0.12912677209994008,0.12804749612669294,0.13030540287433015,False
cstr,128,fp64,kernel,0.1315684528360967,0.13067934825463795,0.13206683852449388,False
cstr,512,adaptive_frozen_v1,e2e,0.17050156434701635,0.16908297691653723,0.17226396467098992,False
cstr,512,adaptive_frozen_v1,kernel,0.17429338460084176,0.17315353658348587,0.17609364837726732,False
cstr,512,adaptive_no_gradient_gate,e2e,0.17009802304744226,0.16930595409018856,0.17220279198678162,False
cstr,512,adaptive_no_gradient_gate,kernel,0.17428419695967673,0.17322310500896992,0.17603798361697842,False
cstr,512,fp32,e2e,1.4054752535902684,1.3763864096611929,1.479959406902969,True
cstr,512,fp32,kernel,1.9861870781508113,1.9733576905160632,2.005728151452419,True
cstr,512,fp64,e2e,0.09153711692505664,0.09116537297483887,0.09240730744318297,False
cstr,512,fp64,kernel,0.09303646501739751,0.09243005425781992,0.09399577951846223,False
cstr,2048,adaptive_frozen_v1,e2e,0.3776261009260271,0.37207382228113617,0.39811596135363136,False
cstr,2048,adaptive_frozen_v1,kernel,0.38879437968546104,0.38393444698588175,0.412419427308495,False
cstr,2048,adaptive_no_gradient_gate,e2e,0.3775667657789213,0.3734840880992429,0.3949810805197714,False
cstr,2048,adaptive_no_gradient_gate,kernel,0.3887220478762408,0.38334540554592,0.4132838168312438,False
cstr,2048,fp32,e2e,3.763781698975381,3.7286488334157353,3.8716562645141632,True
cstr,2048,fp32,kernel,5.6145539757971115,5.56432953830465,5.967566025504634,True
cstr,2048,fp64,e2e,0.2585728137903337,0.2545569393560799,0.27034796385988413,False
cstr,2048,fp64,kernel,0.26161785197839776,0.25763389693297367,0.2777006402003781,False
cstr,8192,adaptive_frozen_v1,e2e,1.2964346197586716,1.2811538092806554,1.341387568263111,True
cstr,8192,adaptive_frozen_v1,kernel,1.3966140675428091,1.3765448638650253,1.4420970186795627,True
cstr,8192,adaptive_no_gradient_gate,e2e,1.2985401619184378,1.283069958081151,1.341557655872219,True
cstr,8192,adaptive_no_gradient_gate,kernel,1.3906956908484474,1.3764652226638532,1.4444028244602571,True
cstr,8192,fp32,e2e,9.298387621277126,9.055234592676367,9.513248267776067,True
cstr,8192,fp32,kernel,20.375620466951304,20.084377520698638,21.08005162914185,True
cstr,8192,fp64,e2e,0.9004225752778219,0.8846006249504517,0.9277524377502779,False
cstr,8192,fp64,kernel,0.9394741977284177,0.9302131539599887,0.9729237860932001,False
cstr,32768,adaptive_frozen_v1,e2e,3.2414625659402785,3.0318743579300316,3.68604384235019,True
cstr,32768,adaptive_frozen_v1,kernel,3.966392068849297,3.5954410998245594,4.290313100513304,True
cstr,32768,adaptive_no_gradient_gate,e2e,3.1444413522745713,3.019994182653404,3.6807214858048516,True
cstr,32768,adaptive_no_gradient_gate,kernel,3.973153132586063,3.593210449024656,4.294507210398938,True
cstr,32768,fp32,e2e,16.662834453272968,14.941143811740174,18.209946746792873,True
cstr,32768,fp32,kernel,77.12935135898255,69.10660078104395,84.32866763857638,True
cstr,32768,fp64,e2e,2.98954408627488,2.778659532892013,3.3706301815095654,True
cstr,32768,fp64,kernel,3.5321840089525915,3.204847372417399,3.8720650315949667,True
cstr,131072,adaptive_frozen_v1,e2e,2.875716915249563,2.870722380064242,2.882507238316375,True
cstr,131072,adaptive_frozen_v1,kernel,3.7236498369307878,3.7157915972183666,3.728819773746325,True
cstr,131072,adaptive_no_gradient_gate,e2e,2.8707592103318778,2.8614599853298652,2.8815857982192696,True
cstr,131072,adaptive_no_gradient_gate,kernel,3.7206675156881275,3.7156071134752926,3.727264203947344,True
cstr,131072,fp32,e2e,10.863907535087119,10.821099230402018,10.972118416247994,True
cstr,131072,fp32,kernel,86.1745060995269,85.6192349916009,86.87394220890917,True
cstr,131072,fp64,e2e,1.772803044367113,1.7667647280410135,1.7801110003535623,True
cstr,131072,fp64,kernel,2.0682638405086893,2.0616125145778623,2.069909763926713,True
