domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
kepler,8,fp32,0.0103842876852,0.0126160001382,0.0305799767375,0.770394681133,0.634115402057,0,71.8890218548
kepler,8,fp64,0.0996603146195,0.105169601738,0.0305799767375,0.0802726745399,0.0760676076334,1,71.9263897774
kepler,32,fp64,0.112018682063,0.121543683112,0.0365898013115,0.28566663534,0.263279828131,1,447.458383108
kepler,32,adaptive_frozen_v1,0.122369274497,0.135474875569,0.0365898013115,0.261503552518,0.236206159006,0.9375,447.458382353
kepler,32,adaptive_no_gradient_gate,0.122375294566,0.134756803513,0.0365898013115,0.261490688243,0.237464819333,0.9375,447.458382353
kepler,32,fp32,0.00957059208304,0.0193103998899,0.0365898013115,3.34357579159,1.65713813191,0,447.210412983
kepler,128,fp64,0.11826825887,0.126514241099,0.0426210463047,1.08228531665,1.01174380756,1,1724.55615534
kepler,128,adaptive_frozen_v1,0.129684969783,0.138029441237,0.0426210463047,0.987007208425,0.927338391378,0.78125,1724.55615438
kepler,128,adaptive_no_gradient_gate,0.129703328013,0.13781440258,0.0426210463047,0.986867507261,0.928785363529,0.78125,1724.55615438
kepler,128,fp32,0.00921238400042,0.0171148795635,0.0426210463047,13.8943404871,7.47887237684,0,1723.62020378
kepler,512,fp64,0.198197513819,0.211321607232,0.0510709360242,2.58328164736,2.42284736855,1,6968.58034376
kepler,512,adaptive_frozen_v1,0.210791140795,0.22339168191,0.0510709360242,2.428944585,2.29193851635,0.802734375,6968.58033881
kepler,512,adaptive_no_gradient_gate,0.210833892226,0.223683536053,0.0510709360242,2.4284520605,2.28894807832,0.802734375,6968.58033881
kepler,512,fp32,0.0103955203667,0.0216924808919,0.0510709360242,49.2519837332,23.6026484269,0,6964.3042945
kepler,2048,fp64,0.200183346868,0.210889607668,0.102669931948,10.2306212382,9.71124192722,1,28210.7605264
kepler,2048,adaptive_frozen_v1,0.211581110954,0.225814387202,0.102669931948,9.67950300839,9.069395557,0.82080078125,28210.7605176
kepler,2048,adaptive_no_gradient_gate,0.211476475,0.223792001605,0.102669931948,9.6842923072,9.15135476385,0.82080078125,28210.7605176
kepler,2048,fp32,0.0102630397305,0.0257151983678,0.102669931948,199.551015467,79.6416177976,0,28192.6514974
kepler,8192,fp64,0.204814389348,0.238044813275,0.315512530506,39.9971897779,34.4136882769,1,112785.479077
kepler,8192,adaptive_frozen_v1,0.218390718102,0.249926403165,0.315512530506,37.5107516985,32.777649325,0.829345703125,112785.479075
kepler,8192,adaptive_no_gradient_gate,0.21853248775,0.250067204237,0.315512530506,37.4864171654,32.7591937735,0.829345703125,112785.479075
kepler,8192,fp32,0.0102668795735,0.044809602201,0.315512530506,797.905531216,182.817958599,0,112716.824463
kepler,32768,fp64,0.203084796667,0.323904007673,1.28480512649,161.35131993,101.165775118,1,449644.306977
kepler,32768,adaptive_frozen_v1,0.214963197708,0.336896002293,1.28480512649,152.435395218,97.2644370281,0.826965332031,449644.306828
kepler,32768,adaptive_no_gradient_gate,0.214975997806,0.336160004139,1.28480512649,152.426318912,97.477390518,0.826965332031,449644.306828
kepler,32768,fp32,0.0103327995166,0.131295993924,1.28480512649,3171.26060051,249.573494367,0,449371.144489
kepler,131072,fp64,0.790687978268,1.25356805325,2.32773926109,165.769562207,104.559141931,1,1371436.38426
kepler,131072,adaptive_frozen_v1,0.814176023006,1.27584004402,2.32773926109,160.987300407,102.733881582,0.82822,1371436.38381
kepler,131072,adaptive_no_gradient_gate,0.814368009567,1.27529597282,2.32773926109,160.949347789,102.777710267,0.82822,1371436.38381
kepler,131072,fp32,0.0220160000026,0.482944011688,2.32773926109,5953.48837138,271.402060752,0,1370609.99236
kepler,524288,fp64,2.5377600193,4.3223361969,8.99505335838,206.594790686,121.297367006,1,1371436.38426
kepler,524288,adaptive_frozen_v1,2.61708807945,4.39244794846,8.99505335838,200.332577308,119.361232313,0.82822,1371436.38381
kepler,524288,adaptive_no_gradient_gate,2.61654400826,4.39574384689,8.99505335838,200.374233472,119.271736084,0.82822,1371436.38381
kepler,524288,fp32,0.0634239986539,1.83833599091,8.99505335838,8266.39775365,285.197049176,0,1370609.99236
kepler,2097152,fp64,9.83468818665,16.9325122833,35.9658524394,213.240314304,123.853564368,1,1371436.38426
kepler,2097152,adaptive_frozen_v1,10.0983037949,17.2181129456,35.9658524394,207.67368883,121.799177798,0.82822,1371436.38381
kepler,2097152,adaptive_no_gradient_gate,10.0945281982,17.1993598938,35.9658524394,207.75136379,121.931979617,0.82822,1371436.38381
kepler,2097152,fp32,0.233375996351,7.39091205597,35.9658524394,8986.15124429,283.747389242,0,1370609.99236
kepler,8388608,fp64,38.5182723999,66.9516143799,143.751477823,217.782560778,125.293588179,1,1371436.38426
kepler,8388608,adaptive_frozen_v1,39.5965423584,68.124961853,143.751477823,211.85203304,123.135599226,0.82822,1371436.38381
kepler,8388608,adaptive_no_gradient_gate,39.5748176575,68.1114273071,143.751477823,211.968329775,123.160067725,0.82822,1371436.38381
kepler,8388608,fp32,0.897311985493,29.3213443756,143.751477823,9348.59684884,286.09220275,0,1370609.99236
kepler,16777216,fp64,76.9237747192,133.580444336,284.812362865,218.101829522,125.596348204,1,1371436.38426
kepler,16777216,adaptive_frozen_v1,79.011932373,135.786209106,284.812362865,212.337750718,123.556111555,0.82822,1371436.38381
kepler,16777216,adaptive_no_gradient_gate,79.0181121826,135.77180481,284.812362865,212.321144312,123.569219865,0.82822,1371436.38381
kepler,16777216,fp32,1.78761601448,58.5505905151,284.812362865,9385.24597234,286.54221678,0,1370609.99236
pv,1,adaptive_frozen_v1,0.148469492793,0.151530236006,0.027540139854,0.0067353904239,0.006599342985,1,7.44420283371
pv,1,adaptive_no_gradient_gate,0.148518055677,0.151625916362,0.027540139854,0.00673318806551,0.00659517860795,1,7.44420283371
pv,1,fp32,0.0140128312632,0.0211676787585,0.027540139854,0.0713631657453,0.0472418356027,0,7.44381809235
