comparison,domain,n,ratio,ci95_low,ci95_high,bootstrap_design
serial_over_omp96,cstr,1,0.13854423067270433,0.13727539694411553,0.1394528691623934,independent_sequential_modes
serial_over_omp96,cstr,8,1.0949603479121823,1.0927629561496581,1.0996583874874923,independent_sequential_modes
serial_over_omp96,cstr,32,4.189185188833951,4.141295329201217,4.218805117368367,independent_sequential_modes
serial_over_omp96,cstr,128,9.096202565223594,9.031503636547987,9.255003588219072,independent_sequential_modes
serial_over_omp96,cstr,512,49.77477291793478,34.87830518616693,50.254955570574865,independent_sequential_modes
serial_over_omp96,cstr,2048,87.1408620129483,82.89932060009797,88.51317082699111,independent_sequential_modes
serial_over_omp96,cstr,8192,85.2915186941745,84.22614511133128,86.4312489333377,independent_sequential_modes
serial_over_omp96,cstr,32768,83.33353470709122,80.82571786137983,84.61813828264407,independent_sequential_modes
serial_over_omp96,cstr,131072,70.38719226990457,70.09439760827266,70.9119767714488,independent_sequential_modes
serial_over_omp96,cstr,524288,70.32411717676071,70.25511046946568,70.39652995678212,independent_sequential_modes
serial_over_omp96,cstr,2097152,70.429572112839,70.19331206788927,70.6364704811263,independent_sequential_modes
serial_over_omp96,cstr,8388608,69.93700095938469,69.90909287068435,69.95224492443266,independent_sequential_modes
serial_over_omp96,cstr,16777216,69.8871613018382,69.82120181804123,69.92241231615905,independent_sequential_modes
serial_over_omp96,kepler,1,0.045502698885161064,0.04525045777215009,0.04573108902856375,independent_sequential_modes
serial_over_omp96,kepler,8,0.43788541746596255,0.4355704868790853,0.4396773199055124,independent_sequential_modes
serial_over_omp96,kepler,32,1.6118593014841505,1.6014618434111896,1.6209451341618477,independent_sequential_modes
serial_over_omp96,kepler,128,6.233439535882184,6.203653746046854,6.254238904929346,independent_sequential_modes
serial_over_omp96,kepler,512,21.327194128874847,20.960602062833022,21.446630575303796,independent_sequential_modes
serial_over_omp96,kepler,2048,52.61376517250754,52.321788082616884,52.81845520926834,independent_sequential_modes
serial_over_omp96,kepler,8192,75.22965755177516,74.4313852785685,75.76279262630584,independent_sequential_modes
