build_mode,domain,n,median_ms,p05_ms,p95_ms,throughput_mroots_s,repetitions,nonfinite_sum,checksum_variants
strict_omp96,bem,32,0.0190496444702,0.0188694000244,0.0195693969727,1.6798213767222099,30,0,1
strict_omp96,bem,128,0.0204701423645,0.0202207565308,0.021240234375,6.253009760302491,30,0,1
strict_omp96,bem,512,0.02570486068725,0.0254497528076,0.0281200408936,19.91841178326089,30,0,1
strict_omp96,bem,2048,0.052849769592250004,0.0524597167969,0.0585403442383,38.75135153475338,30,0,1
strict_omp96,bem,8192,0.1786403656005,0.174590110779,0.185460090637,45.857496834282514,30,0,1
strict_omp96,bem,32768,0.707100391388,0.693591117859,0.726230621338,46.34136877746339,30,0,1
strict_omp96,bem,131072,2.779046535495,2.75552082062,2.80498123169,47.16437753952675,30,0,1
strict_omp96,bem,524288,11.158965587600001,11.0958557129,11.4363451004,46.98356634261837,30,0,1
strict_omp96,bem,2097152,46.1262922287,45.4054918289,46.2999324799,45.46543627660456,30,0,1
strict_omp96,bem,8388608,179.02186536800002,178.806045532,179.49439621,46.85800800229766,30,0,1
strict_omp96,bem,16777216,284.9155659675,284.479605675,285.330506325,58.88486977897781,30,0,1
strict_omp96,cstr,1,0.0189847946167,0.0187606811523,0.0192899703979,0.05267373285778655,30,0,1
strict_omp96,cstr,8,0.0186395645142,0.0183296203613,0.0187397003174,0.42919457661714344,30,0,1
strict_omp96,cstr,32,0.0193295478821,0.018949508667,0.0212202072144,1.6554965586977535,30,0,1
strict_omp96,cstr,128,0.0359501838684,0.0218801498413,0.0365991592407,3.560482485112162,30,0,1
strict_omp96,cstr,512,0.032390117645300004,0.0317296981812,0.0612592697144,15.80729053246567,30,0,1
strict_omp96,cstr,2048,0.0792798995972,0.0747299194336,0.102310180664,25.832525147046617,30,0,1
strict_omp96,cstr,8192,0.32546997070350003,0.30126953125,0.345499992371,25.16975677446701,30,0,1
strict_omp96,cstr,32768,1.33393001556,1.29701137543,1.48831176758,24.565006872750814,30,0,1
strict_omp96,cstr,131072,6.31505346298,6.24333286285,6.35804271698,20.755485407743272,30,0,1
strict_omp96,cstr,524288,25.27433729175,25.172791481,25.546661377,20.74388712740401,30,0,1
strict_omp96,cstr,2097152,100.98932313899999,100.561487198,102.256087303,20.766076401101486,30,0,1
strict_omp96,cstr,8388608,407.0255036355,406.69569397,407.759374619,20.609539021692797,30,0,1
strict_omp96,cstr,16777216,814.6737031935,813.530268669,818.174550056,20.593786118581885,30,0,1
strict_omp96,kepler,1,0.0189046859741,0.0186605453491,0.0192403793335,0.05289693790047773,30,0,1
strict_omp96,kepler,8,0.018635272979749998,0.0183000564575,0.0190000534058,0.42929341623775474,30,0,1
strict_omp96,kepler,32,0.0191550254822,0.0189294815063,0.0195407867432,1.6705798710493138,30,0,1
strict_omp96,kepler,128,0.020054817199700002,0.0197305679321,0.0204801559448,6.382506443485046,30,0,1
strict_omp96,kepler,512,0.023715496063249998,0.0234003067017,0.0244302749634,21.589259555628917,30,0,1
strict_omp96,kepler,2048,0.0397953987122,0.0393199920654,0.0472097396851,51.463236109559276,30,0,1
strict_omp96,kepler,8192,0.1134696006775,0.107110023499,0.122159957886,72.19554798014195,30,0,1
strict_omp96,kepler,32768,0.4569606781005,0.444499969482,0.47119140625,71.70857706227687,30,0,1
strict_omp96,kepler,131072,1.75585603714,1.74352169037,1.91314125061,74.64848895783886,30,0,1
