cpu_mode,domain,n,cpu_over_gpu_e2e,ci95_low,ci95_high,bootstrap_design
strict_serial,pv,8,0.04365435415740468,0.043503841215206,0.04378864770530051,independent
strict_serial,pv,32,0.15916046063814804,0.15913901182652934,0.15924956957573777,independent
strict_serial,pv,128,0.5835341877764614,0.5833810723306841,0.5837518945303702,independent
strict_serial,pv,512,1.456476752977015,1.4560814369760189,1.4754022272057876,independent
strict_serial,pv,2048,5.992122420174437,5.978292932377911,6.001266938771808,independent
strict_serial,pv,8192,21.26624608396301,21.235122492561537,21.318530730168778,independent
strict_serial,pv,32768,66.77814881613527,66.49892691655808,67.20287880854839,independent
strict_serial,pv,131072,71.70787494143045,71.58353838910692,71.81874700225653,independent
strict_serial,pv,524288,83.06560494393442,82.70671194761324,83.86570096739202,independent
strict_serial,pv,2097152,87.68003819055726,87.50438134163001,87.8942956638847,independent
strict_serial,pv,8388608,88.57653277196606,88.14744028559026,88.76097949002418,independent
strict_serial,pv,16777216,88.53835321255936,88.4800470058585,88.64168593130948,independent
strict_omp96,bem,1,0.09087108954050777,0.09040783236989737,0.09146661393066126,independent
strict_omp96,bem,8,0.08807976667970197,0.08781598427626781,0.08840152981906389,independent
strict_omp96,bem,32,0.0816541166999619,0.08139697164229864,0.0821089605785133,independent
strict_omp96,bem,128,0.08335552137618786,0.0829213777247256,0.08395006635652727,independent
strict_omp96,bem,512,0.06152231699024546,0.06118671101117541,0.06185773276407844,independent
strict_omp96,bem,2048,0.1259061684006659,0.12552596544801178,0.12625312451317952,independent
strict_omp96,bem,8192,0.39891465656483216,0.39637623232999936,0.4039535539917713,independent
strict_omp96,bem,32768,1.3305767335911785,1.3165096676235888,1.3526188010298013,independent
strict_omp96,bem,131072,1.3386853954405749,1.3324007567177918,1.343238054550291,independent
strict_omp96,bem,524288,1.5739482296336909,1.5679645453186162,1.5840757540323505,independent
strict_omp96,bem,2097152,1.7118047969633547,1.7069660844351822,1.7178626181375258,independent
strict_omp96,bem,8388608,1.6781496818354698,1.6766285770946636,1.6791919936361415,independent
strict_omp96,bem,16777216,1.3378435230893537,1.3371763845229345,1.3385712836601291,independent
strict_omp96,cstr,1,0.05595443916744321,0.05561433331823784,0.05693280370755927,independent
strict_omp96,cstr,8,0.054109783580890525,0.053874441696062786,0.0542741462239188,independent
strict_omp96,cstr,32,0.056169984281637476,0.05573305821961391,0.056854681147760815,independent
strict_omp96,cstr,128,0.09437689835847297,0.09373297392884038,0.09503449445120545,independent
strict_omp96,cstr,512,0.04614986706832069,0.04570913928093321,0.06590661736190101,independent
strict_omp96,cstr,2048,0.11266726599075048,0.11095932845181873,0.11839407707735858,independent
strict_omp96,cstr,8192,0.4455016609392367,0.4396688869976603,0.4521380582293438,independent
strict_omp96,cstr,32768,1.633917173853347,1.609241183167131,1.6886747352020441,independent
strict_omp96,cstr,131072,1.9720245019489364,1.9572197641450009,1.980371107330768,independent
strict_omp96,cstr,524288,2.349352810348888,2.347366864126579,2.353199492766577,independent
strict_omp96,cstr,2097152,2.4765406344700365,2.4599459422679533,2.4845764690090237,independent
strict_omp96,cstr,8388608,2.522965012485337,2.5189345672358643,2.5241998212495163,independent
strict_omp96,cstr,16777216,2.5226257523401165,2.521362416205707,2.525140767246551,independent
strict_omp96,kepler,1,0.18909981055669453,0.18815510705151345,0.1900723016565673,independent
strict_omp96,kepler,8,0.18682981787722355,0.1859437541556112,0.18778097012045902,independent
strict_omp96,kepler,32,0.15654380764765594,0.1556777325101375,0.1608944706063346,independent
strict_omp96,kepler,128,0.14889903327500711,0.1484171958978931,0.14973339209538813,independent
strict_omp96,kepler,512,0.11358240026588516,0.1129985803955934,0.11461183903629407,independent
strict_omp96,kepler,2048,0.1873832154392816,0.18593809665815372,0.18836888748066397,independent
strict_omp96,kepler,8192,0.4630444788229658,0.4595609645076101,0.46804813889018715,independent
strict_omp96,kepler,32768,1.392901036255402,1.381025466582116,1.4064276047660274,independent
strict_omp96,kepler,131072,1.4050265138273768,1.395924171783175,1.424661342448092,independent
strict_omp96,kepler,524288,1.6515503902150293,1.6385327172289283,1.6629287109606004,independent
strict_omp96,kepler,2097152,1.7306067816879844,1.7172517099526337,1.7767551688464018,independent
strict_omp96,kepler,8388608,1.7654331005264894,1.7579684071729622,1.7677871188681131,independent
strict_omp96,kepler,16777216,1.7596969874794275,1.7580188203352014,1.7608997137374789,independent
strict_omp96,peng_robinson,1,1.5397336875868417,1.530513468854156,1.5506806765882974,independent
