index,near_knot,multi_root,root_abs,gradient_left_rel,gradient_right_rel,residual,knot_distance_rad,status
57,0,0,4.3893333412370339e-11,5.03112233365369e-09,5.03112233365369e-09,5.8432148009046614e-11,0,0
58,1,0,6.09938766160667e-11,2.8851984490126484e-08,3.7452906113824289e-08,1.4054204489211264e-10,0,0
59,1,0,2.4200952353226057e-10,4.3742513217051563e-09,2.6231936902499111e-09,2.4286059867337778e-10,0,0
60,1,0,7.9897422011754315e-11,1.9746827180800419e-08,2.7910636145288975e-08,2.0977460090720807e-10,0,0
61,1,0,0,4.6970668411386089e-09,1.7760575896490112e-08,4.3968634110023879e-17,0,0
62,1,0,0,5.4005607286291814e-08,6.133635372274555e-08,5.4108431928986359e-16,0,0
63,1,0,3.9844127996957468e-11,1.2024161236716188e-07,9.816755957801004e-08,7.5192621356983825e-11,0,0
64,0,0,8.8817841970012523e-16,4.3557855782431679e-08,4.8386927789898605e-08,1.2344002998724736e-15,0,0
65,0,0,2.0117241206207837e-13,7.739158988558867e-08,8.4711216278353872e-08,3.4140901064018071e-13,0,0
66,0,0,0,3.9346332447472419e-08,5.3250010728583073e-08,8.6730960798182116e-17,0,0
67,0,0,2.7853275241795927e-12,2.92454334236766e-08,3.3777050541626273e-08,2.94434735982829e-12,0,0
68,1,0,3.5869085479589558e-11,3.2824450043955155e-08,3.8757494018458581e-08,4.5203319285577198e-11,0,0
69,1,0,6.2172489379008766e-15,3.998078812409855e-08,4.7180266253246561e-08,1.6702698585615365e-14,0,0
70,0,0,1.2376766278521245e-12,1.3544807352418222e-07,1.1687431661761278e-07,4.3945017733797823e-12,0,0
71,0,0,0,2.8130370479987981e-08,3.3117428499875285e-08,8.4962281372306918e-17,0,0
72,0,0,2.3132606941089762e-12,3.0405128394857128e-08,3.9712212199845321e-08,6.1145687641635611e-12,0,0
73,0,0,1.9984014443252818e-14,3.5964436826037254e-08,4.1218093857240679e-08,2.4736704231051516e-14,0,0
74,1,0,1.9095836023552692e-14,7.4666220146781575e-07,7.4182534622434766e-07,1.6490193312276067e-13,0,0
75,0,0,0,5.3977100810337706e-08,6.3902925474403704e-08,4.4405777241423107e-16,0,0
76,1,0,2.2204460492503131e-15,2.4786753079326415e-08,3.5100163731471268e-08,5.1309928086297767e-15,0,0
77,0,0,1.59574575775423e-11,4.1927612833699059e-07,4.3041559667980347e-07,7.3576198275101165e-11,0,0
78,0,0,1.6271428648906294e-12,4.2412605029089812e-08,5.1192094116098865e-08,4.6893689847560012e-12,0,0
79,1,0,2.0383694732117874e-13,6.6276568671208124e-08,7.4551437562170447e-08,4.9961152801116422e-13,0,0
80,0,0,4.787281682183675e-13,4.7436765388738754e-08,2.9670321080658752e-08,1.4736377476355423e-12,0,0
