domain,n,method,timing_kind,speedup_vs_brent,ci95_low,ci95_high,faster_than_brent
peng_robinson,1,safeguarded_halley,kernel,2.832646218200675,2.8325083954329076,2.840983292498566,True
peng_robinson,1,safeguarded_newton,e2e,2.537488249231726,2.437718198463975,2.590599736385157,True
peng_robinson,1,safeguarded_newton,kernel,2.8303396913368295,2.830189936392285,2.8386551797341433,True
peng_robinson,8,analytic_cubic,e2e,5.634527893328138,5.602013834819241,6.030797478370214,True
peng_robinson,8,analytic_cubic,kernel,6.820575147100589,6.81521824717875,6.82110822551842,True
peng_robinson,8,bracketed_secant,e2e,1.4112525804967384,1.3666808628217233,1.4138828411960984,True
peng_robinson,8,bracketed_secant,kernel,1.3620499530896624,1.3589476999140262,1.3647386954532903,True
peng_robinson,8,safeguarded_halley,e2e,3.2953012069298353,3.289426542640041,3.30186259712229,True
peng_robinson,8,safeguarded_halley,kernel,4.355997388217894,4.3497003315728415,4.3582135754127265,True
peng_robinson,8,safeguarded_newton,e2e,3.0199950405405684,3.017606398501575,3.0253443726302907,True
peng_robinson,8,safeguarded_newton,kernel,3.7901841143607222,3.787295769954054,3.7903308248006526,True
peng_robinson,32,analytic_cubic,e2e,4.235335915179642,4.227044285082193,6.101551676073598,True
peng_robinson,32,analytic_cubic,kernel,7.425870344528613,7.425280783659315,7.4264017585246584,True
peng_robinson,32,bracketed_secant,e2e,1.1778156980858019,1.1771816699414208,1.3639896009003758,True
peng_robinson,32,bracketed_secant,kernel,1.3201680487793546,1.3200836953319295,1.3254004277186215,True
peng_robinson,32,safeguarded_halley,e2e,3.6544612679457797,3.649150400873803,3.662891280652161,True
peng_robinson,32,safeguarded_halley,kernel,4.637886774325105,4.637637419785236,4.638189876024683,True
peng_robinson,32,safeguarded_newton,e2e,3.582396862511467,3.5766667397494394,3.5878046003397723,True
peng_robinson,32,safeguarded_newton,kernel,4.126154976521945,4.125903526675046,4.1264713500013785,True
peng_robinson,128,analytic_cubic,e2e,4.629299977804418,4.625565475160074,4.635164059171735,True
peng_robinson,128,analytic_cubic,kernel,8.819295446952419,8.818633356047885,8.82054699797762,True
peng_robinson,128,bracketed_secant,e2e,1.3405246237159687,1.3400347914268627,1.3409984222543712,True
peng_robinson,128,bracketed_secant,kernel,1.418894303572358,1.4187762166888074,1.4237813015419893,True
peng_robinson,128,safeguarded_halley,e2e,4.058893189376015,4.049495391982883,4.069589447766843,True
