channel,unit,finite,nonfinite,min,median,max
AB3N016The,deg,48001,0,0.7986198197768687,0.8982451386853393,1.0147506927454026
AB3N017The,deg,48001,0,0.3017409847822624,0.4066375347967447,0.5285819561858701
AB3N018The,deg,48001,0,0.03591486468428877,0.14308422890271488,0.2671085929580832
AB3N019The,deg,48001,0,0.03591280211088742,0.14297920919237425,0.26666966125914415
AB1N001AxI,-,48001,0,1.0,1.0,1.0
AB1N002AxI,-,48001,0,0.0,0.0,0.0
AB1N003AxI,-,48001,0,0.0,0.0,0.0
AB1N004AxI,-,48001,0,0.0,0.0,0.0
AB1N005AxI,-,48001,0,0.04981493194378028,0.27211446625071195,0.29695959797196986
AB1N006AxI,-,48001,0,-0.031772453510386024,0.2589295141948728,0.2958406886474608
AB1N007AxI,-,48001,0,-0.085864287084466,0.23148177733191808,0.2754843305138063
AB1N008AxI,-,48001,0,-0.03406772186909864,0.23568653155310232,0.2800118398902499
AB1N009AxI,-,48001,0,0.13947279019806866,0.2862961259949346,0.3330695315011482
AB1N010AxI,-,48001,0,0.12915138446549854,0.3095596020409094,0.3705273077782298
AB1N011AxI,-,48001,0,0.24887358275087632,0.38810637162628964,0.5514993548579668
AB1N012AxI,-,48001,0,0.25381643158369543,0.4441442465869,0.6826609953089416
AB1N013AxI,-,48001,0,0.24191955970359938,0.44328016868136644,0.8592975458447681
AB1N014AxI,-,48001,0,0.2351699111431192,0.4825396305027509,1.5701549913502058
AB1N015AxI,-,48001,0,0.25002441676117276,0.5216923017354186,1.9686275488796063
AB1N016AxI,-,48001,0,0.2845528079551903,0.5586086149430839,1.9989937624020488
AB1N017AxI,-,48001,0,0.3118975455871896,0.5840269825514324,2.02328585618291
AB1N018AxI,-,48001,0,0.31150304489626274,0.5624968356243104,2.0475771014055084
AB1N019AxI,-,48001,0,1.0,1.0,1.0
AB2N001AxI,-,48001,0,1.0,1.0,1.0
AB2N002AxI,-,48001,0,0.0,0.0,0.0
AB2N003AxI,-,48001,0,0.0,0.0,0.0
AB2N004AxI,-,48001,0,0.0,0.0,0.0
AB2N005AxI,-,48001,0,0.06545559660699145,0.2719835534266115,0.29656237697928184
AB2N006AxI,-,48001,0,-0.06822773936713591,0.25917362641364766,0.29562263145206913
AB2N007AxI,-,48001,0,-0.08433448861662057,0.23165747113022153,0.2762471692449256
AB2N008AxI,-,48001,0,-0.008985156365556426,0.23533172837316882,0.27993143742518184
AB2N009AxI,-,48001,0,0.13683966001923156,0.2865343240663808,0.3324920456516431
AB2N010AxI,-,48001,0,0.19966984654865477,0.3091981776725515,0.37046393848219367
AB2N011AxI,-,48001,0,0.24694420005939374,0.38802674681138716,0.5313184295584443
AB2N012AxI,-,48001,0,0.26316308643311515,0.442747859977878,0.6810828145308391
AB2N013AxI,-,48001,0,0.23675521044177636,0.44328053996395056,0.807600875205805
AB2N014AxI,-,48001,0,0.2425476148968382,0.48129529116812614,1.2258318893370843
AB2N015AxI,-,48001,0,0.254058916842306,0.5207213250947421,1.4147319183604279
AB2N016AxI,-,48001,0,0.27584921198013335,0.5576545589528248,1.409232196931851
AB2N017AxI,-,48001,0,0.2997418610100115,0.5841223144656228,1.4877714175350987
AB2N018AxI,-,48001,0,0.3280110665890595,0.5644734330197615,1.4004418940995234
AB2N019AxI,-,48001,0,1.0,1.0,1.0
AB3N001AxI,-,48001,0,1.0,1.0,1.0
AB3N002AxI,-,48001,0,0.0,0.0,0.0
AB3N003AxI,-,48001,0,0.0,0.0,0.0
AB3N004AxI,-,48001,0,0.0,0.0,0.0
AB3N005AxI,-,48001,0,0.05436890029430525,0.27237674311322607,0.2964355402939272
AB3N006AxI,-,48001,0,-0.06489898005380733,0.25913840626905865,0.2958448853904245
AB3N007AxI,-,48001,0,-0.01237793772167166,0.23163992702384192,0.2756231571882768
AB3N008AxI,-,48001,0,-0.06678793809501375,0.23542072759766575,0.2796566092370529
AB3N009AxI,-,48001,0,0.127120855875461,0.28640821660225163,0.33327968519940204
AB3N010AxI,-,48001,0,0.17905867728224228,0.30942869908317794,0.3671216517558133
AB3N011AxI,-,48001,0,0.24140535037889596,0.38825394478114306,0.5394822554322709
AB3N012AxI,-,48001,0,0.26170890534308794,0.44480931038994875,0.7131517898956956
AB3N013AxI,-,48001,0,0.23693880432877423,0.4427674116173335,0.80350771631968
