domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_p99,root_max,wrong_root,iterations_median,iterations_p99,checksum
pv,8388608,bracketed_secant,23.359872818,51.7674255371,359.103324978,162.044140943,7.81597009336e-14,9.7699626167e-14,0,3,36,5136677.06995
pv,16777216,safeguarded_newton,14.7797756195,71.509437561,1135.14686771,234.615409829,7.81597009336e-14,9.72555369572e-14,0,3,9,5136677.06995
pv,16777216,safeguarded_halley,15.9136638641,72.8029098511,1054.26482193,230.447052657,7.81597009336e-14,9.59232693276e-14,0,3,6,5136677.06995
pv,16777216,brent_dekker,79.2246398926,135.970657349,211.767652371,123.388504014,7.81597009336e-14,1.03916875105e-13,0,29,48,5136677.06995
pv,16777216,bracketed_secant,46.5436172485,103.162208557,360.462228589,162.629476769,7.81597009336e-14,9.7699626167e-14,0,3,36,5136677.06995
cstr,1,safeguarded_halley,0.311737775803,0.317513287067,0.00320782426007,0.00314947449676,7.46971928756e-15,7.46971928756e-15,0,3,3,0.013106352801
cstr,1,brent_dekker,0.328345894814,0.336799710989,0.00304556876086,0.00296912368797,9.13158437754e-15,9.13158437754e-15,0,17,17,0.013106352801
cstr,1,bracketed_secant,0.304633408785,0.311791688204,0.00328263404854,0.00320726959003,1.31925720348e-14,1.31925720348e-14,0,5,5,0.013106352801
cstr,1,safeguarded_newton,0.305998235941,0.312120318413,0.00326799269586,0.00320389266897,7.46798456408e-15,7.46798456408e-15,0,4,4,0.013106352801
cstr,8,brent_dekker,0.358401238918,0.362170249224,0.0223213514109,0.0220890589913,3.85613849879e-14,4.39648317752e-14,0,15,31,22.0587650549
cstr,8,bracketed_secant,0.305123984814,0.311778575182,0.0262188500353,0.0256592358706,3.85247389545e-14,4.40758540776e-14,0,3,4,22.0587650549
cstr,8,safeguarded_newton,0.306802839041,0.31162750721,0.0260753780018,0.0256716747235,3.8561439198e-14,4.39648317752e-14,0,3,4,22.0587650549
cstr,8,safeguarded_halley,0.312612205744,0.3207475245,0.0255908114047,0.0249417357545,3.85613849879e-14,4.40758540776e-14,0,3,3,22.0587650549
cstr,32,safeguarded_halley,0.313036054373,0.322318732738,0.1022246465,0.0992806087568,4.40758540776e-14,4.55607773731e-14,0,3,3,120.872187463
cstr,32,brent_dekker,0.370401650667,0.378895670176,0.0863927035486,0.0844559664278,4.39648317752e-14,4.55607773731e-14,0,18,35,120.872187463
cstr,32,bracketed_secant,0.307141602039,0.315583050251,0.104186472258,0.101399615646,4.40758540776e-14,4.82044959504e-14,0,3,5,120.872187463
cstr,32,safeguarded_newton,0.307139903307,0.319454729557,0.104187048493,0.10017068786,4.39648317752e-14,4.55260829035e-14,0,3,4,120.872187463
cstr,128,safeguarded_halley,0.342062830925,0.34781602025,0.374200259215,0.368010650883,4.48252546192e-14,4.55607773731e-14,0,3,3,443.745736009
cstr,128,brent_dekker,0.404069423676,0.408954888582,0.316777247919,0.31299295735,4.50943535985e-14,4.55607773731e-14,0,21,35,443.745736009
cstr,128,bracketed_secant,0.33648276329,0.346983373165,0.380405815586,0.368893756587,4.50152068399e-14,4.82044959504e-14,0,3,6,443.745736009
cstr,128,safeguarded_newton,0.335957616568,0.346527010202,0.381000440793,0.369379575708,4.53248549803e-14,5.0404125318e-14,0,3,4,443.745736009
cstr,512,safeguarded_halley,0.6137586236,0.623774051666,0.834204164818,0.820810033108,4.56301663121e-14,4.90718576884e-14,0,3,3,1903.84251692
cstr,512,brent_dekker,0.735219299793,0.744122862816,0.696390859359,0.688058418287,4.5852210917e-14,5.85087533977e-14,0,23,36,1903.84251692
cstr,512,bracketed_secant,0.608661293983,0.620417296886,0.841190338635,0.825251008586,4.5852210917e-14,4.82044959504e-14,0,3,6,1903.84251692
cstr,512,safeguarded_newton,0.60431009531,0.617142081261,0.847247140125,0.829630672655,4.55191440096e-14,5.06261699229e-14,0,3,4,1903.84251692
cstr,2048,safeguarded_halley,0.615113317966,0.627574384212,3.32946782354,3.26335817956,4.57411886146e-14,9.64783808399e-14,0,3,3,7443.15323589
cstr,2048,brent_dekker,0.735504627228,0.746041595936,2.78448282198,2.7451552449,4.5852210917e-14,9.68114477473e-14,0,23,36,7443.15323589
cstr,2048,bracketed_secant,0.609643816948,0.620918393135,3.3593385893,3.29834004378,4.60803270541e-14,7.19979631469e-14,0,3,6,7443.15323589
cstr,2048,safeguarded_newton,0.605518102646,0.618048012257,3.38222753548,3.31365842036,4.57457422637e-14,9.68114477473e-14,0,3,4,7443.15323589
cstr,8192,safeguarded_halley,0.616526067257,0.654076814651,13.2873538283,12.5245228336,4.5852210917e-14,3.08642000846e-13,0,3,3,29965.1891466
cstr,8192,brent_dekker,0.738150417805,0.77128636837,11.0980090269,10.6212171457,4.61852778244e-14,3.50941498084e-13,0,23,36,29965.1891466
cstr,8192,bracketed_secant,0.610405147076,0.646495997906,13.4205945662,12.6713854789,4.61852778244e-14,3.67594843453e-13,0,3,6,29965.1891466
cstr,8192,safeguarded_newton,0.606983006001,0.644623994827,13.4962592346,12.7081834771,4.60742555219e-14,3.133604487e-13,0,3,4,29965.1891466
cstr,32768,safeguarded_halley,0.613014400005,0.733215987682,53.4538829752,44.6907876403,4.58149143623e-14,3.08642000846e-13,0,3,3,121389.682075
cstr,32768,brent_dekker,0.733657598495,0.850112020969,44.6638868966,38.5455083468,4.61852778244e-14,3.50941498084e-13,0,23,36,121389.682075
cstr,32768,bracketed_secant,0.607417583466,0.725344002247,53.9464132945,45.1758060982,4.61852778244e-14,3.67594843453e-13,0,3,6,121389.682075
cstr,32768,safeguarded_newton,0.604185581207,0.724192023277,54.2349917297,45.2476676721,4.59632332195e-14,3.133604487e-13,0,3,4,121389.682075
