index,branch,root_count,root_abs,gradient_rel,condition_rel,regularized_rel,residual,status
225,3,3,3.6304292905242619e-14,3.9485152262709393e-11,3.9314056438083641e-11,3.9462087311019892e-11,2.2204460492503131e-16,0
226,1,3,2.9629076969683865e-15,2.303428773409966e-10,2.3015153377882547e-10,2.2257706521555613e-10,1.7347234759768071e-18,0
227,0,1,8.4703294725430034e-22,2.2200997685001575e-16,0,2.2200997907048042e-16,0,0
228,0,1,2.2204460492503131e-16,4.9276743412476343e-11,1.5542629261131001e-15,4.9276743905275042e-11,1.1102230246251565e-16,0
229,0,1,0,3.159771833827886e-14,4.4101735100314989e-16,3.1597718658673189e-14,0,0
230,0,1,2.1684043449710089e-19,8.7328746864902659e-16,0,8.7328747753784836e-16,5.4210108624275222e-20,0
231,0,1,4.632211430296955e-23,1.1102179497955299e-15,0,1.1102179608977607e-15,6.6174449004242214e-24,0
232,0,1,0,1.9652878837633364e-10,6.6613201894052181e-16,1.9652866188455775e-10,1.1102230246251565e-16,0
233,3,3,4.0700776082758239e-13,1.0839544972222084e-08,1.0835002314550864e-08,9.7437695408670075e-09,1.1102230246251565e-16,0
234,1,3,5.5511151231257827e-17,1.805562583337238e-13,1.7968724361928213e-13,1.8048431873430924e-13,0,0
235,2,3,5.5511151231257827e-15,8.4661713616533895e-11,8.476670709088006e-11,8.3247011776446766e-11,0,0
236,2,3,1.5543122344752192e-13,8.6159185157768809e-10,8.6210925579213941e-10,8.3667402049483225e-10,0,0
237,3,3,1.5765166949677223e-14,4.4055541676260998e-11,4.3985845600530359e-11,4.3871700638541769e-11,0,0
238,1,3,7.9623807547335446e-16,4.0137321354071601e-12,3.9615670642846442e-12,4.0131418204025651e-12,1.7347234759768071e-18,0
239,0,1,1.2705494208814505e-21,4.4405119856329005e-16,0,6.660768045063026e-16,0,0
240,0,1,1.1102230246251565e-16,4.1000055009976653e-12,0,4.1000055419999476e-12,1.1102230246251565e-16,0
241,0,1,2.2204460492503131e-16,2.9336803674738676e-14,2.1988824214267836e-16,2.9452303202132485e-14,1.1102230246251565e-16,0
242,0,1,3.2526065174565133e-19,8.7089219286125869e-16,0,6.5316915131392128e-16,0,0
243,0,1,1.6543612251060553e-23,8.8817595493260565e-16,0,6.6613197286079271e-16,0,0
244,0,1,2.2204460492503131e-16,2.6281990952146365e-10,6.6613230307814543e-16,2.6281975798356786e-10,1.1102230246251565e-16,0
245,3,3,1.6653345369377348e-15,1.4853411395874327e-12,1.4671440768998629e-12,1.4852897096658846e-12,1.1102230246251565e-16,0
246,1,3,6.9388939039072284e-17,1.8558836779028679e-14,1.7115633259026181e-14,1.8558868014298281e-14,0,0
247,2,3,8.9511731360403246e-16,4.9063604895667713e-11,4.9079690887821006e-11,3.8515415291164722e-11,0,0
248,2,3,6.5614180755346752e-14,9.6368823926199985e-11,9.6596041141846938e-11,9.6180710665374592e-11,2.2204460492503131e-16,0
249,3,3,3.2562841312255841e-13,2.0204031450068875e-09,2.018974127392202e-09,1.9786184505379311e-09,3.3306690738754696e-16,0
250,1,3,3.5978164891758979e-15,6.337945686235808e-10,6.3356098640437926e-10,5.3351249020390858e-10,0,0
251,0,1,2.1175823681357508e-21,8.881088092219359e-16,0,6.6608161357781688e-16,0,0
252,0,1,1.1102230246251565e-16,1.4060149808693512e-11,6.6610202119764463e-16,1.4060298496602694e-11,1.1102230246251565e-16,0
253,0,1,0,8.7740513102190647e-14,6.6140024332233633e-16,8.7740513992199714e-14,1.1102230246251565e-16,0
254,0,1,5.4210108624275222e-20,0,0,2.1837526104939435e-16,0,0
255,0,1,3.6395946952333218e-23,2.6645299753971819e-15,0,2.6645300020425348e-15,0,0
256,0,1,1.1102230246251565e-16,7.1843273484962115e-11,2.2204409756839203e-16,7.1843450223415585e-11,1.1102230246251565e-16,0
257,3,3,2.19824158875781e-14,1.1696956940558786e-10,1.1670984264192535e-10,1.1652715585746189e-10,1.1102230246251565e-16,0
258,1,3,2.9629076969683865e-15,7.2069382690219312e-12,7.1538666178759508e-12,7.2042222929179675e-12,6.9388939039072284e-18,0
259,2,3,1.3586354263850353e-14,1.7071784543928173e-10,1.7095649350918703e-10,1.6842376817730035e-10,1.3877787807814457e-17,0
260,2,3,7.6605388699135801e-15,7.3307224388827367e-13,7.5815007987342222e-13,7.3307547470892608e-13,2.2204460492503131e-16,0
261,3,3,3.3306690738754696e-15,4.2868083731838097e-13,4.1146277673905897e-13,4.2841330005239362e-13,0,0
262,1,3,5.3203969008208674e-15,9.2373422547049628e-10,9.2338289546397826e-10,7.8373140392006597e-10,1.7347234759768071e-18,0
263,0,1,3.8116482626443515e-21,1.7761999794413304e-15,0,1.5541749975543581e-15,4.2351647362715017e-22,0
264,0,1,1.1102230246251565e-16,7.4038658546129523e-13,2.2203722833959618e-16,7.4038659286565304e-13,1.1102230246251565e-16,0
265,0,1,1.1102230246251565e-16,7.0693031734002587e-14,4.4142768014756085e-16,7.0693032449483297e-14,0,0
266,0,1,1.0842021724855044e-19,2.190230319548169e-16,0,2.1902303417670017e-16,0,0
267,0,1,3.9704669402545328e-23,8.8817363115921693e-16,0,1.1102170500512524e-15,0,0
268,0,1,0,1.2235971925978063e-11,0,1.2235972048338164e-11,0,0
269,3,3,1.4210854715202004e-14,1.5337926701526243e-11,1.5172539345701716e-11,1.5335266717277561e-11,0,0
270,1,3,4.7628567756419216e-14,2.4366578048593141e-09,2.4358186347558549e-09,2.0400635968771165e-09,6.9388939039072284e-18,0
271,2,3,2.7061686225238191e-16,9.1127361887174419e-14,9.5979251306242267e-14,9.1127834129305268e-14,0,0
272,2,3,4.1078251911130792e-15,1.8015647892022498e-12,1.8155251298484865e-12,1.8013327389288001e-12,1.1102230246251565e-16,0
273,3,3,2.7755575615628914e-15,4.3759143331472195e-13,4.2417615828747511e-13,4.375940363464394e-13,1.1102230246251565e-16,0
274,1,3,1.2906342661267445e-15,5.0679795105071045e-11,5.059773595752108e-11,5.0226823111430281e-11,1.7347234759768071e-18,0
275,0,1,2.541098841762901e-21,1.1101360221219702e-15,0,1.1101360332242456e-15,4.2351647362715017e-22,0
276,0,1,0,2.66062885197332e-11,6.6611729493166735e-16,2.6606150127615864e-11,0,0
277,0,1,1.1102230246251565e-16,1.1813455759032428e-13,8.8249573274082989e-16,1.18134558786933e-13,0,0
278,0,1,3.2526065174565133e-19,8.7599084220758485e-16,0,1.0949885638687762e-15,0,0
279,0,1,4.632211430296955e-23,6.6612895396379968e-16,0,6.6612896062513847e-16,6.6174449004242214e-24,0
280,0,1,1.1102230246251565e-16,5.744905905307636e-11,2.2204403535738869e-16,5.7449059627569897e-11,1.1102230246251565e-16,0
281,3,3,9.8809849191638932e-14,3.4431645401950478e-09,3.4419989333760809e-09,2.9223246587420675e-09,0,0
282,1,3,2.7824964554667986e-15,1.2427186750999805e-11,1.237734560459671e-11,1.2411005600037757e-11,0,0
283,2,3,2.0386470289679437e-14,1.3403877392465671e-09,1.3407371692622747e-09,9.1259008611598536e-10,6.9388939039072284e-18,0
284,2,3,1.3877787807814457e-14,5.7336791185074717e-12,5.7786863122990498e-12,5.7326741739255377e-12,0,0
285,3,3,3.3595348725157237e-13,6.8899829654866445e-09,6.8883302450754179e-09,5.6672768410342896e-09,2.2204460492503131e-16,0
286,1,3,4.9162063309182713e-15,1.4638369867084854e-09,1.463499062846583e-09,9.3765215545739257e-10,1.7347234759768071e-18,0
287,0,1,1.6940658945086007e-21,8.8810658966305657e-16,0,6.6607994890865835e-16,0,0
288,0,1,1.1102230246251565e-16,2.4775930402902033e-12,2.2202930483648139e-16,2.4775930650695484e-12,1.1102230246251565e-16,0
289,0,1,0,1.1467930500804604e-14,0,1.1467930618010218e-14,0,0
290,0,1,2.1684043449710089e-19,6.5639481591390505e-16,0,4.3759654838676069e-16,5.4210108624275222e-20,0
291,0,1,2.6469779601696886e-23,8.8817292519683289e-16,0,8.8817293407861792e-16,6.6174449004242214e-24,0
292,0,1,1.1102230246251565e-16,1.185985080792917e-10,4.4408766162573367e-16,1.1859850926528504e-10,0,0
293,3,3,2.19824158875781e-14,3.8096345617483212e-11,3.7832721604890138e-11,3.8081461718509491e-11,0,0
294,1,3,1.6237011735142914e-15,3.505158507381628e-12,3.4774604651899791e-12,3.5038728462909497e-12,6.9388939039072284e-18,0
295,2,3,6.9388939039072284e-18,3.8210111375334599e-15,3.8902201444241965e-15,3.6845489431430716e-15,6.9388939039072284e-18,0
296,2,3,3.730349362740526e-13,4.5556951149200941e-09,4.5571035200427672e-09,4.0358220481441095e-09,1.1102230246251565e-16,0
297,3,3,4.1078251911130792e-15,3.2825201963530161e-13,3.0958012142817419e-13,3.2841894492461336e-13,0,0
298,1,3,3.866698627952303e-15,2.2842816005312826e-10,2.2817415166762853e-10,2.2411497499983513e-10,0,0
299,0,1,8.4703294725430034e-22,4.440682228157338e-16,0,2.2203411362831809e-16,2.1175823681357508e-22,0
300,0,1,0,1.9801226956041053e-11,4.4407848459799006e-16,1.9801371943269843e-11,0,0
301,0,1,0,5.5071811181617983e-14,4.4107430729597306e-16,5.5248891520404656e-14,1.1102230246251565e-16,0
302,0,1,1.6263032587282567e-19,4.3747535692467724e-16,2.2030484942943492e-16,4.3747536136879881e-16,0,0
303,0,1,1.9852334701272664e-23,1.1102201529161039e-15,0,1.3322641968220018e-15,3.3087224502121107e-24,0
304,0,1,2.2204460492503131e-16,7.7659733560357687e-11,2.2204375528729226e-16,7.7659734336960961e-11,1.1102230246251565e-16,0
305,3,3,2.3980817331903381e-14,4.6133748620110414e-11,4.585684158390078e-11,4.6109784413007106e-11,2.2204460492503131e-16,0
306,1,3,1.7347234759768071e-15,3.491877402609237e-12,3.4593072660979838e-12,3.4910832390545264e-12,0,0
307,2,3,6.9388939039072284e-18,1.3075953223564777e-13,1.3113773746551475e-13,1.2847020566403637e-13,6.9388939039072284e-18,0
308,2,3,7.7715611723760958e-16,2.9388164510961517e-13,2.9657395425211005e-13,2.9403521725811943e-13,0,0
309,3,3,1.9539925233402755e-14,5.4353974492607762e-12,5.3452109257137964e-12,5.4355041847865721e-12,1.1102230246251565e-16,0
310,1,3,4.5120157610156753e-15,6.6569177182810899e-10,6.654047674317884e-10,5.8593793340231217e-10,1.7347234759768071e-18,0
311,0,1,1.0587911840678754e-21,6.6610051184231643e-16,2.2203877914168919e-16,8.8813402467156137e-16,2.1175823681357508e-22,0
312,0,1,0,6.575359574633398e-12,2.2203707916505753e-16,6.5753596403914512e-12,0,0
313,0,1,0,1.6755447967429525e-14,0,1.6755448137632485e-14,0,0
314,0,1,1.6263032587282567e-19,6.5515044805635571e-16,0,2.183834849077296e-16,0,0
315,0,1,3.9704669402545328e-23,1.5543052556906407e-15,0,1.5543052712337641e-15,0,0
316,0,1,1.1102230246251565e-16,3.2731142779254088e-10,4.4408860288566536e-16,3.2731143106566411e-10,0,0
317,3,3,3.4416913763379853e-15,1.2408860157641714e-11,1.2368524216911512e-11,1.2386949294042149e-11,1.1102230246251565e-16,0
318,1,3,5.8841820305133297e-15,6.7707474547582224e-11,6.7606445401433371e-11,6.7071362799622695e-11,6.9388939039072284e-18,0
319,2,3,4.5928538749961945e-14,1.5231088077804242e-09,1.5239361699035759e-09,1.3940288959237835e-09,0,0
320,2,3,9.9920072216264089e-15,2.2541299493934377e-12,2.290285330680688e-12,2.2540195661095014e-12,0,0
321,3,3,8.6708418223224726e-14,1.6927611900499679e-10,1.6887704562232898e-10,1.6894653636764436e-10,5.5511151231257827e-16,0
322,1,3,2.2551405187698492e-17,7.4855853874616325e-14,7.3213275900157916e-14,7.4857458092136479e-14,1.7347234759768071e-18,0
323,0,1,1.6940658945086007e-21,8.8812561805407795e-16,0,8.8812562693588813e-16,2.1175823681357508e-22,0
324,0,1,2.2204460492503131e-16,2.6258667475110954e-11,1.7762453336674227e-15,2.6258667737730598e-11,1.1102230246251565e-16,0
325,0,1,1.1102230246251565e-16,2.5279853731973487e-14,2.2030840097597969e-16,2.5444008884803214e-14,1.1102230246251565e-16,0
326,0,1,2.7105054312137611e-19,6.5607734084313019e-16,0,6.5607734750950251e-16,5.4210108624275222e-20,0
327,0,1,4.632211430296955e-23,6.6612971786204829e-16,0,8.8817296603118256e-16,6.6174449004242214e-24,0
328,0,1,1.1102230246251565e-16,3.0239565337580408e-10,4.4408843952987659e-16,3.023957695492276e-10,0,0
329,3,3,7.5073280925153085e-13,6.6296697031952386e-08,6.6288071273803914e-08,1.8995847313070565e-08,1.1102230246251565e-16,0
330,1,3,4.3715031594615539e-16,4.4230778936018101e-13,4.3448969025819e-13,4.4213598983804562e-13,6.9388939039072284e-18,0
331,2,3,2.1295465391091284e-14,2.9582760188793528e-10,2.9622972722637697e-10,2.9169446038884703e-10,0,0
332,2,3,1.1102230246251565e-16,4.6410195801002405e-16,1.9951929310443806e-16,4.6410342952274917e-16,2.2204460492503131e-16,0
333,3,3,1.2656542480726785e-14,3.3281827865256281e-12,3.272865065636483e-12,3.3280889805542424e-12,3.3306690738754696e-16,0
334,1,3,1.0130785099704553e-15,1.9376394444744201e-11,1.930613199547104e-11,1.9341895447380201e-11,0,0
335,0,1,2.1175823681357508e-21,8.8809282914045073e-16,0,8.8809283802227954e-16,4.2351647362715017e-22,0
336,0,1,0,1.2197163020157565e-11,8.8810789499147679e-16,1.2196985589406894e-11,1.1102230246251565e-16,0
337,0,1,0,4.165382878061261e-14,2.2064818885974014e-16,4.1842308067609282e-14,0,0
338,0,1,1.0842021724855044e-19,0,2.2003490577408525e-16,2.1823293809854011e-16,0,0
339,0,1,9.9261673506363321e-24,2.2204388007993973e-16,0,6.6613164690115748e-16,3.3087224502121107e-24,0
340,0,1,1.1102230246251565e-16,2.17682797792111e-10,6.6613177424920382e-16,2.1768267612553191e-10,0,0
341,3,3,3.3306690738754696e-16,2.2026379283197083e-14,1.9296938941432946e-14,2.2194533818408469e-14,1.1102230246251565e-16,0
342,1,3,6.2151672697297045e-14,3.3785001568667843e-09,3.3773567242516673e-09,2.8088330333325115e-09,0,0
343,2,3,7.1539996149283525e-15,2.8247177717053015e-10,2.8259981287453262e-10,2.4909793174483041e-10,6.9388939039072284e-18,0
344,2,3,7.8825834748386114e-15,1.2739190451818643e-11,1.2768543768544961e-11,1.271194559744778e-11,1.1102230246251565e-16,0
345,3,3,9.9809049913801573e-14,5.176136194245647e-10,5.1713286318942406e-10,5.1100837956686569e-10,1.1102230246251565e-16,0
346,1,3,7.2858385991025898e-17,1.7821055685416691e-13,1.7364014505825156e-13,1.7808521960533022e-13,0,0
347,0,1,1.2705494208814505e-21,6.6606510140550577e-16,0,6.6606510806688007e-16,0,0
348,0,1,1.1102230246251565e-16,2.8422017436642916e-12,0,2.8420093283364568e-12,1.1102230246251565e-16,0
