sample_id,fold_side,relative_fold_offset,fold_x,fold_Da,root_spacing_min,Fx,condition,raw_gradient,regularized_gradient_lambda_1e-4,regularization_relative_bias,root_count,selected_branch
cstrfold_0001629,upper,-7.835025462980989314784102e-8,0.921796422173883654873796518352,0.00000214512613824330564398456540957,+inf,0.999956166455511563224120612262,1.00004383546595228376666543326,1.00008338120614310002745267587,1.00008337120443258635468650057,0.000000010000876628516992088791182015,1,single
cstrfold_0001630,upper,0.000003204470425989120559143058,0.795121476497445250297055290004,0.000331127301947549240639389347486,0.00093002456869429421779721347517,0.992464641082132756269416274924,1.00759257167051419909690395468,1.01454223960179777177731968288,1.01454222930173093235960900911,0.000000010152427801784211612827080682,3,low_triple
cstrfold_0001631,upper,0.000002690157335127776498871265,0.831032385950054968339751958509,0.0000000319543129971662612296389906982,0.00068898215272271498725181037406,-0.00219446114811795314484979017808,455.692733889426603305962732999,-2005707915.27334016720672136151,-2001551575.98038237959660944151,0.0020722555170209601234955289769,3,middle_triple
cstrfold_0001632,lower,-0.00002377586732001660410465235,0.0556524250526498349709117553159,0.0201609538731965740807978345945,0.000779533615235150183856308918004,0.99991576335727614598686450194,1.00008424373913360913252681606,0.000325173264420664248741022165716,0.000325173261168383737751871899061,0.000000010001684845719047261174813168,3,high_triple
cstrfold_0001633,lower,-0.0001756620959591794684952431,0.0523947933993834969427777300649,0.0180678790377988471661835900306,0.0020966818922404077878931266034,0.016576190103240885725749883337,60.3274934572863934266783685234,162.691765676576643179863615529,162.685844877417542891435787584,0.0000363927401886494404610742903478,3,low_triple
cstrfold_0001634,lower,1.085948506417717007550801e-8,0.014207738881376789791695801227,0.00500821267275988764128360817411,+inf,0.999996945267908566661077091497,1.00000305474142284999433352523,0.000123140653574776078233426152589,0.000123140652343362031531284034068,0.0000000100000609949205505493417266756,1,single
cstrfold_0001635,upper,0.00002933496843136935109710902,0.923562427040945155065697265033,0.00000135460918737917187332325206367,0.00115610412179892215857490378965,-0.00717948187790450034840713740491,139.285817139199100713799543007,-7309045.62878262118537264387577,-7307627.90959055934617668300557,0.00019396775777112933894656966028,3,middle_triple
cstrfold_0001636,upper,-0.000002096353640802018045820152,0.79855451633713939228955018944,0.000362046367263619028475984550373,+inf,0.992048112244137403022293823198,1.00801562712303784172545520421,1.01532818359347706421047915379,1.01532817327677313937698703267,0.0000000101609549419975062512122094322,1,single
cstrfold_0001637,upper,-0.001491654432002733118217733,0.820153541170773808454295371656,0.0000000415245886153342064610003081638,+inf,0.999996883387765696137489048119,1.00000311662194760595411960007,1.000006150323181426957294727,1.00000614032305769080789046762,0.0000000100000622325348397881370192755,1,single
cstrfold_0001638,lower,0.0006632595491910429433709454,0.0505143600778139541594014068855,0.0183218334637012320148466656409,+inf,0.999974791031868846472798959536,1.00002520960363924826802260973,0.0000990705621760190137421932521096,0.0000990705611852634506683454698721,0.0000000100005040984179428992151272789,1,single
cstrfold_0001639,lower,0.001161721467222566918317773,0.0518798224593701817542308155334,0.0178884808599340906158176604598,+inf,0.993058373396462463433244775919,1.00699014961204723121728921621,0.0793970078442277340730211068135,0.0793970070391189294050844731174,0.0000000101402915113314196874560045152,1,single
cstrfold_0001640,lower,-0.001596081494361347973116028,0.0144661613412898566223656813012,0.00511280247004312462799194216802,0.00170255663358460378038841258567,0.999998455374431426121307346354,1.00000154462795444571106346729,0.0000553266816665923749215392385471,0.0000553266811133238546042151798939,0.0000000100000307925823308167937734967,3,high_triple
cstrfold_0001641,upper,-0.0006226669537737517939960449,0.922335377537393952760658202693,0.00000199545377568030907735575692969,+inf,0.99995913768973162029239970996,1.00004086398006501192500074435,1.00007773999565107662331426832,1.00007772999405641685436465638,0.0000000100008171962836033123099138846,1,single
cstrfold_0001642,upper,1.362712719349990456460026e-8,0.801583927175406277985590676736,0.000284497188342647458860282920568,+inf,0.993528592561174553431973051135,1.00651355933516023343278453489,1.01247230167288941737105490023,1.01247229141584098020253256875,0.0000000101306953486243419125152165007,1,single
cstrfold_0001643,upper,0.00001679746426243986412077133,0.824973021746357467272544271248,0.0000000377263776522921294970281234431,0.00177153946343255402764413664948,0.999997217948921535506172059415,1.00000278205881829422961505736,1.00000548866725118963590465831,1.0000054786671407614058927383,0.000000010000055541252652569122233403,3,low_triple
cstrfold_0001644,lower,-2.004384770434516370171376e-8,0.0532716827086879942637951393933,0.0193169608758866228084284289445,+inf,0.999953773223965877734944695937,1.00004622891304773202347608555,0.00017798395183801204887415125865,0.000177983950058007984399331874551,0.0000000100009244996135868089685457145,1,single
cstrfold_0001645,lower,-0.00001033105697211584795451685,0.052031796946749183430897434195,0.0179630041283180061346940697435,0.000504332569698439650799152747233,-0.00404540578053128836878898872184,247.193990974292004833401014177,-681.889111735361042434165808782,-681.472698734344268356158659548,0.000610675539248649296698061145807,3,middle_triple
cstrfold_0001646,lower,0.0000004555696122351760872480222,0.0148212813099078915440909743521,0.00523813401104866224791639474426,+inf,0.999998265393148681770665913691,1.00000173460986018437717406282,0.0000598877259868843574418809070217,0.0000598877253880050259232494622121,0.000000010000034592226599555474968947,1,single
