domain,n,timing_kind,frozen_over_no_gate_median,ci95_low,ci95_high
peng_robinson,1,e2e,0.9923247520230667,0.9854845294043973,0.9961432269538555
peng_robinson,8,kernel,0.9999999999467349,0.9999709935182792,1.0000323837434024
peng_robinson,8,e2e,1.0002443127637826,0.9910399596521187,1.0134296473654318
peng_robinson,32,kernel,1.0000000650336045,0.9999665433502162,1.0000592159281871
peng_robinson,32,e2e,0.9999864062447121,0.9987194002479243,1.0016895605424159
peng_robinson,128,kernel,0.9999888356881197,0.9999620949273267,1.000046800531037
peng_robinson,128,e2e,0.9997833438921879,0.9974594927072581,1.0026989652858336
peng_robinson,512,kernel,1.0000780814012677,0.99998508755061,1.0001341867889577
peng_robinson,512,e2e,1.000846359947475,0.9998544514868136,1.001740323305151
peng_robinson,2048,kernel,1.0001418819485874,0.9997376270945862,1.000525141136025
peng_robinson,2048,e2e,1.0028939632588993,1.0019303546180547,1.004923478080607
peng_robinson,8192,kernel,1.0000425962112,0.9999006751128596,1.0004044403219203
peng_robinson,8192,e2e,1.0088814344790822,0.9856505772344035,1.0145619553173741
peng_robinson,32768,kernel,1.000424654017323,0.9995050278983781,1.0036008057084203
peng_robinson,32768,e2e,1.0004458624993,0.9868572161012481,1.0083345873108835
peng_robinson,131072,kernel,1.0013560307456157,1.0,1.0062309202990614
peng_robinson,131072,e2e,1.0018143294114683,0.9944568620686209,1.0091929481602435
peng_robinson,524288,kernel,1.008790496847751,1.0070358263785282,1.011996225363884
peng_robinson,524288,e2e,0.9996058269134842,0.9938750877850955,1.0038498664425932
peng_robinson,2097152,kernel,1.008165496872824,1.0072790261556497,1.0097972244614124
peng_robinson,2097152,e2e,1.0007739238959155,0.9995924044901232,1.0021862746392372
peng_robinson,8388608,kernel,1.009692253589924,1.0095513778916398,1.0100155942307918
peng_robinson,8388608,e2e,1.001306613952711,1.0002990655462414,1.0023258103732247
peng_robinson,16777216,kernel,1.0108354144103455,1.01057295352342,1.0109384525794116
peng_robinson,16777216,e2e,1.0012722996879253,1.0010431830444355,1.0014777834427289
pv,1,kernel,0.9998608956599114,0.9995065340765871,0.9999916457540394
pv,1,e2e,0.9996385892896944,0.9974453859272558,1.0015381465721636
pv,8,kernel,1.0001238454933687,1.000003130931074,1.000993007593568
pv,8,e2e,0.9991932598329651,0.9982778390748125,1.0006926968787453
pv,32,kernel,1.000071709670948,0.9984423033734676,1.0015052186085471
pv,32,e2e,0.99973217375811,0.999591652266612,1.0000060717728696
pv,128,kernel,0.9996723574874573,0.9992900229576167,1.000078059323823
pv,128,e2e,0.9998994530524568,0.9998389074299736,1.0001480661128104
pv,512,kernel,1.0000763756873239,0.9999795469426607,1.0001559522443684
pv,512,e2e,1.0000256355979906,0.9997888160474905,1.000220663907046
pv,2048,kernel,0.9999572755169504,0.9999007272304845,1.0000672132211783
pv,2048,e2e,1.0032853054227768,1.000380094766622,1.004675760082213
pv,8192,kernel,1.000024070944555,0.9996645485499789,1.000299602315816
pv,8192,e2e,1.001228684845033,0.9992843142536704,1.002425768884064
pv,32768,kernel,0.999190645798025,0.9986409534883259,0.999490998215162
pv,32768,e2e,0.9997580800001209,0.9950103176087819,1.0027841347162616
pv,131072,kernel,1.0000631168114382,0.9987881783882324,1.0009297808711537
pv,131072,e2e,0.9985129231334359,0.9966263781848479,1.0009752406242773
pv,524288,kernel,0.9998569577355738,0.9985621777888822,1.0003061326614713
pv,524288,e2e,1.000850270561379,0.9995110541052156,1.0021983632635665
pv,2097152,kernel,0.9996332027123831,0.999456069566477,0.9999449446771027
pv,2097152,e2e,0.9999808708946365,0.9991177306679067,1.0004303677501392
pv,8388608,kernel,0.9997045080022484,0.9929893782337247,1.0063917908394715
pv,8388608,e2e,0.9991858827689384,0.9937529296629549,1.0062873004211652
pv,16777216,kernel,1.0002712350769838,1.0002295237677739,1.0003309768921658
pv,16777216,e2e,0.9999379152933021,0.9997254627388847,1.0002051790028752
