domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
peng_robinson,1,adaptive_frozen_v3,0.00614412780851,0.0103190401569,nan,0.162757030968,0.0969082380527,0,0.0671927034855
peng_robinson,1,adaptive_no_gradient_gate_v3,0.00614412780851,0.0103971194476,nan,0.162757030968,0.0961804858587,0,0.0671927034855
peng_robinson,8,fp64,0.0102404477075,0.0137116797268,nan,0.781215844124,0.583444199352,1,8.16452053855
peng_robinson,8,adaptive_frozen_v3,0.0143356164917,0.0171324796975,nan,0.558050642929,0.466949334905,0.375,8.1645207157
peng_robinson,8,adaptive_no_gradient_gate_v3,0.0143356798217,0.0201513599604,nan,0.55804817766,0.39699553855,0.375,8.1645207157
peng_robinson,8,fp32,0.00409743981436,0.00629376014695,nan,1.95243868426,1.27110023471,0,8.16452088952
peng_robinson,32,fp32,0.00409756787121,0.00900608021766,nan,7.80951066725,3.55315511595,0,72.8397116363
peng_robinson,32,fp64,0.0102409599349,0.0198803190142,nan,3.12470707858,1.60963211793,1,72.8397113328
peng_robinson,32,adaptive_frozen_v3,0.0143360644579,0.0222191996872,nan,2.23213282097,1.44019588691,0.40625,72.8397106682
peng_robinson,32,adaptive_no_gradient_gate_v3,0.0143358716741,0.0221952013671,nan,2.23216283791,1.44175308305,0.375,72.8397106516
peng_robinson,128,fp32,0.00409769592807,0.00945791974664,nan,31.2370664508,13.5336314358,0,269.498425812
peng_robinson,128,fp64,0.010249055922,0.0203993599862,nan,12.4889551754,6.27470666171,1,269.498452843
peng_robinson,128,adaptive_frozen_v3,0.0143482564017,0.0229606386274,nan,8.9209445675,5.57475783131,0.421875,269.498452792
peng_robinson,128,adaptive_no_gradient_gate_v3,0.0143482564017,0.0229622405022,nan,8.9209445675,5.57436892918,0.3828125,269.498452822
peng_robinson,512,fp32,0.00410143984482,0.0119302403182,nan,124.834209295,42.9161514223,0,1295.49214742
peng_robinson,512,fp64,0.0163975674659,0.0330940783024,nan,31.224143524,15.471045766,1,1295.49231581
peng_robinson,512,adaptive_frozen_v3,0.0225455034524,0.035217281431,nan,22.7096281563,14.5383169625,0.501953125,1295.4923128
peng_robinson,512,adaptive_no_gradient_gate_v3,0.0225433930755,0.0351846404374,nan,22.7117540951,14.5518042429,0.4609375,1295.49231263
peng_robinson,2048,fp32,0.00467744003981,0.0185567997396,nan,437.846339572,110.363857386,0,5267.5290814
peng_robinson,2048,fp64,0.0164115205407,0.0357600003481,nan,124.790387028,57.2706929548,1,5267.51261418
peng_robinson,2048,adaptive_frozen_v3,0.022555520758,0.0382304005325,nan,90.7981696353,53.5699331285,0.51220703125,5267.51260463
peng_robinson,2048,adaptive_no_gradient_gate_v3,0.0225542411208,0.0381055995822,nan,90.8033211594,53.7453818456,0.4677734375,5267.51260352
peng_robinson,8192,fp32,0.00558368023485,0.0460064001381,nan,1467.13272527,178.062182118,0,21388.210483
peng_robinson,8192,fp64,0.0164160002023,0.0587135963142,nan,499.025334981,139.5247526,1,21388.2018572
peng_robinson,8192,adaptive_frozen_v3,0.0225577596575,0.0639327988029,nan,363.156630994,128.134543668,0.521850585938,21388.2018528
peng_robinson,8192,adaptive_no_gradient_gate_v3,0.0225519984961,0.0638592019677,nan,363.249403437,128.282216933,0.481079101562,21388.2018491
peng_robinson,32768,fp32,0.00623679999262,0.125407993793,nan,5253.97640437,261.291158632,0,86371.5643246
